pv_kw,battery_kwh,IRR,NPC,NPV,pv_cost_per_kw,battery_cost_per_kwh,capex_total,opex_total,export_revenue,import_cost,payback_years,annual_savings,total_savings,pv_battery_savings,battery_total_cycles,battery_degradation_pct,renewable_fraction
0.0,86,0.0,129074.7398303393,-129074.7398303393,0.0,693.0063843255186,74562.5490519946,56502.0,0.0,281240.7625132577,inf,-1817.0730259448233,1989.809221655305,1989.809221655305,73.82926384605244,25.903975436286853,-0.0005350408151162576
0.0,88,0.0,131636.81737649464,-131636.81737649464,0.0,687.4844504367522,75810.63163843419,57815.99999999999,0.0,281240.75747297343,inf,-1860.872857935348,1989.8142619395512,1989.8142619395512,72.15160528897064,25.90397543628649,-0.0005350221464409724
0.0,90,0.0,134180.76711864895,-134180.76711864895,0.0,682.0065157874757,77040.58642087282,59129.99999999999,0.0,281240.7524326891,inf,-1904.6726899258713,1989.8193022238556,1989.8193022238556,70.54850933442435,25.903975436292164,-0.0005350034777656894
0.0,92,0.0,136706.8207979882,-136706.8207979882,0.0,676.5722297880014,78252.64514049613,60444.0,0.0,281240.74739240506,inf,-1948.4725219164025,1989.8243425079272,1989.8243425079272,69.01511320399023,25.903975436289624,-0.0005349848090904063
0.0,94,0.0,139215.20761357178,-139215.20761357178,0.0,671.1812446421709,79447.03699636407,61758.0,0.0,281240.7423521207,inf,-1992.2723539069236,1989.8293827922898,1989.8293827922898,67.54696797272216,25.903975436287745,-0.0005349661404151218
0.0,96,0.0,141706.15424813272,-141706.15424813272,0.0,665.8332153250944,80623.98867120907,63072.0,0.0,281240.7373118366,inf,-2036.0721858974548,1989.8344230763614,1989.8344230763614,66.13999545942463,25.903975436294342,-0.0005349474717398367
0.0,98,0.0,144179.88489362434,-144179.88489362434,0.0,660.5277995610703,81783.7243569849,64385.99999999999,0.0,281240.73227155244,inf,-2079.8720178879817,1989.8394633605494,1989.8394633605494,64.79045039564816,25.90397543628927,-0.0005349288030645528
0.0,100,0.0,146636.621276523,-146636.621276523,0.0,655.2646578016788,82926.46578016788,65700.0,0.0,281240.7272312681,inf,-2123.671849878503,1989.844503644912,1989.844503644912,63.49488713442478,25.90397543629022,-0.0005349101343892698
1.0,0,0.005421226357179121,-521.2412248160681,521.2412248160681,1045.2074932042979,0.0,6045.207493204298,1423.5,367.9816555897351,275608.60467248235,27.618615873513388,218.88162393401223,7989.948718020366,7989.948718020366,0.0,0.0,0.024172156037428012
1.0,2,-0.017370132410685968,2054.337094850309,-2054.337094850309,1045.2074932042979,969.7508780298202,8332.709249263939,2737.5,204.421976424719,274419.1215569241,39.816256719057975,209.27907181378765,9015.87215441363,9015.87215441363,2230.3683082817593,25.903975436290573,0.027560850466245283
1.0,4,-0.03635898971751694,4920.84628290062,-4920.84628290062,1045.2074932042979,962.0238204468434,10589.302774991671,4051.5,119.50301589268409,273630.1182587146,56.04331332400519,188.94854973636836,9719.95649209105,9719.95649209105,1694.1829379519918,25.903975436290573,0.029320245939815436
1.0,6,-0.05443693827468099,8016.792958546073,-8016.792958546073,1045.2074932042979,954.3583327167466,12815.357489504779,5365.5,71.74822219512812,273138.2554261494,80.11994466360382,159.9521510319568,10164.064530958705,10164.064530958705,1346.5267318291683,25.903975436294342,0.03030966384382022
1.0,8,-0.07293558488673724,11235.212509313511,-11235.212509313511,1045.2074932042979,946.7539242456988,15011.238887169888,6679.5,40.19244215572691,272815.23779921234,119.26218769444883,125.86754592854581,10455.526377856375,10455.526377856375,1117.4747697736557,25.903975436290573,0.030963465818175592
1.0,10,-0.09417302948679784,14545.231566370097,-14545.231566370097,1045.2074932042979,939.210108348962,17177.30857669392,7993.5,18.131232852818172,272623.125957442,195.78426287664684,87.73590034412734,10625.577010323821,10625.577010323821,954.1494118955319,25.903975436291272,0.0314205570847881
1.0,12,-0.12395650475134035,17932.57159233836,-17932.57159233836,1045.2074932042979,931.7264022197439,19313.924319841222,9307.5,6.456416763407946,272548.17542417353,419.4567528329127,46.04509091676198,10688.85272750286,10688.85272750286,821.6604102974196,25.903975436294342,0.03166245988836355
1.0,14,-0.22030519529415626,21340.347221728163,-21340.347221728163,1045.2074932042979,924.3023268982979,21421.440069780467,10621.499999999998,2.2554066444614507,272530.23429350514,7924.782733970546,2.7030949350768765,10702.592848052303,10702.592848052303,712.4659679947785,25.903975436291265,0.03174951719903827
1.0,16,0.0,24729.49457239329,-24729.49457239329,1045.2074932042979,916.9374072412693,23500.206009064605,11935.5,0.9121126786839634,272525.27241092036,inf,-40.9762854442896,10706.211436671312,10706.211436671312,625.6989888223483,25.903975436290573,0.03177736696036235
1.0,18,0.0,28092.265167564256,-28092.265167564256,1045.2074932042979,909.631171891286,25550.56858724745,13249.500000000002,0.32219020825405975,272523.09050543804,inf,-84.7232193438935,10707.803419683196,10707.803419683196,557.0720737156078,25.903975436287958,0.031789607931252864
1.0,20,0.0,31427.741829303544,-31427.741829303544,1045.2074932042979,902.3831532467918,27572.870558140137,14563.5,0.01727685098940783,272521.9602829274,inf,-128.49570903878015,10708.628728836595,10708.628728836595,501.78189308197426,25.903975436291272,0.031795943997714224
1.0,22,0.0,34736.27073564151,-34736.27073564151,1045.2074932042979,895.1928874321197,29567.451016710933,15877.499999999998,0.0,272521.89145384356,inf,-172.2939906310192,10708.68028106942,10708.68028106942,456.187893437405,25.90397543628649,0.031796320638267955
1.0,24,0.0,38017.46008145157,-38017.46008145157,1045.2074932042979,888.059914267803,31534.645435631566,17191.5,0.0,272521.886380733,inf,-216.0938215273335,10708.685354179994,10708.685354179994,418.1732595954924,25.903975436294342,0.03179633930694324
1.0,26,0.0,41271.59527418297,-41271.59527418297,1045.2074932042979,880.9837772411245,33474.785701473535,18505.5,0.0,272521.8813076224,inf,-259.8936524236478,10708.690427290567,10708.690427290567,386.00703096001564,25.90397543628995,0.03179635797561852
1.0,28,0.0,44499.00465015626,-44499.00465015626,1045.2074932042979,873.9640234768991,35388.200150557466,19819.499999999996,0.0,272521.8762345118,inf,-303.6934833199599,10708.695500401198,10708.695500401198,358.4359778439095,25.903975436291265,0.031796376644293814
1.0,30,0.0,47700.01303094717,-47700.01303094717,1045.2074932042979,867.0002037084901,37275.213604459,21133.499999999996,0.0,272521.87116140116,inf,-347.49331421627227,10708.70057351183,10708.70057351183,334.541065143275,25.90397543628866,0.03179639531296909
1.0,32,0.0,50874.94175855177,-50874.94175855177,1045.2074932042979,860.0918722490551,39136.14740517406,22447.5,0.0,272521.8660882907,inf,-391.2931451125905,10708.705646622286,10708.705646622286,313.6330165302243,25.903975436290573,0.03179641398164438
1.0,34,0.0,54024.108730214204,-54024.108730214204,1045.2074932042979,853.2385869630226,40971.31944994706,23761.5,0.0,272521.8610151801,inf,-435.09297600890466,10708.710719732859,10708.710719732859,295.1847383422409,25.90397543628933,0.03179643265031966
1.0,36,0.0,57147.82843292155,-57147.82843292155,1045.2074932042979,846.4399092377952,42781.04422576492,25075.500000000004,0.0,272521.8559420696,inf,-478.892806905221,10708.715792843373,10708.715792843373,278.78626884179437,25.903975436287958,0.031796451318994945
1.0,38,0.0,60246.41197756598,-60246.41197756598,1045.2074932042979,839.6954039556778,44565.63284352005,26389.499999999996,0.0,272521.8508689589,inf,-522.6926378015311,10708.720865954063,10708.720865954063,264.1139540256197,25.90397543628462,0.03179646998767023
1.0,40,0.0,63320.16713278086,-63320.16713278086,1045.2074932042979,833.0046394660302,46325.3930718455,27703.5,0.0,272521.84579584835,inf,-566.4924686978455,10708.725939064636,10708.725939064636,250.90887069106202,25.903975436291272,0.03179648865634551
1.0,42,0.0,66369.39835845008,-66369.39835845008,1045.2074932042979,826.3671875576413,48060.62937062523,29017.5,0.0,272521.84072273783,inf,-610.2922995941617,10708.73101217515,10708.73101217515,238.9614143407444,25.90397543629252,0.0317965073250208
1.0,44,0.0,69394.4068388968,-69394.4068388968,1045.2074932042979,819.7826234313234,49771.642924182524,30331.499999999996,0.0,272521.83564962726,inf,-654.0921304904757,10708.736085285724,10708.736085285724,228.1000903859085,25.90397543628649,0.031796525993696076
1.0,46,0.0,72395.49051575334,-72395.49051575334,1045.2074932042979,813.2505256727247,51458.73167414963,31645.5,0.0,272521.8305765167,inf,-697.89196138679,10708.741158396297,10708.741158396297,218.1832293836743,25.903975436289624,0.031796544662371355
1.0,48,0.0,75372.94412051461,-75372.94412051461,1045.2074932042979,806.7704762253591,53122.190352021535,32959.5,0.0,272521.82550340606,inf,-741.6917922831025,10708.746231506928,10708.746231506928,209.09277346495642,25.903975436294342,0.03179656333104665
1.0,50,0.0,78327.05920677932,-78327.05920677932,1045.2074932042979,800.3420603638504,54762.31051139681,34273.5,0.0,272521.8204302955,inf,-785.4916231794167,10708.7513046175,10708.7513046175,200.7295540197341,25.90397543629022,0.03179658199972193
1.0,52,0.0,81258.1241821805,-81258.1241821805,1045.2074932042979,793.9648666673887,56379.38055990851,35587.5,0.0,272521.81535718497,inf,-829.2914540757329,10708.756377728016,10708.756377728016,193.00965914722113,25.90397543628995,0.031796600668397214
1.0,54,0.0,84166.42434000931,-84166.42434000931,1045.2074932042979,787.6384869934012,57973.685790847965,36901.5,0.0,272521.81028407434,inf,-873.0912849720451,10708.761450838647,10708.761450838647,185.86160833934042,25.903975436290054,0.03179661933707249
1.0,56,0.0,87052.24189053511,-87052.24189053511,1045.2074932042979,781.3625164514291,59545.50841448433,38215.49999999999,0.0,272521.80521096376,inf,-916.8911158683591,10708.76652394922,10708.76652394922,179.2241325891657,25.903975436291265,0.03179663800574778
1.0,58,0.0,89915.85599202302,-89915.85599202302,1045.2074932042979,775.1365533772156,61095.127589082804,39529.5,0.0,272521.8001378532,inf,-960.6909467646736,10708.771597059793,10708.771597059793,173.04441378727765,25.903975436285755,0.031796656674423066
1.0,60,0.0,92757.54278145378,-92757.54278145378,1045.2074932042979,768.9601993069987,62622.819451624215,40843.49999999999,0.0,272521.79506474256,inf,-1004.4907776609857,10708.776670170424,10708.776670170424,167.27667623884912,25.90397543628866,0.031796675343098345
1.0,62,0.0,95577.575404948,-95577.575404948,1045.2074932042979,762.8330589520095,64128.85714822889,42157.5,0.0,272521.7899916321,inf,-1048.290608557304,10708.78174328088,10708.78174328088,161.88105079031953,25.903975436288235,0.03179669401177363
1.0,64,0.0,98376.22404789596,-98376.22404789596,1045.2074932042979,756.7547401731745,65613.51086428747,43471.5,0.0,272521.7849185215,inf,-1092.0904394536162,10708.786816391512,10708.786816391512,156.8226519323269,25.903975436290573,0.03179671268044891
1.0,66,0.0,101153.7559647993,-101153.7559647993,1045.2074932042979,750.7248539560164,67077.04785430139,44785.5,0.0,272521.7798454109,inf,-1135.8902703499305,10708.791889502085,10708.791889502085,152.07082270208215,25.903975436287592,0.0317967313491242
1.0,68,0.0,103910.43550882331,-103910.43550882331,1045.2074932042979,744.7430143857598,68519.73247143597,46099.5,0.0,272521.7747723003,inf,-1179.690101246245,10708.796962612658,10708.796962612658,147.59851283832552,25.90397543628933,0.03179675001779948
1.0,70,0.0,106646.5241610651,-106646.5241610651,1045.2074932042979,738.8088386226299,69941.82619678839,47413.5,0.0,272521.7696991897,inf,-1223.489932142557,10708.802035723289,10708.802035723289,143.38176353821098,25.903975436288807,0.03179676868647476
1.0,72,0.0,109362.28055953982,-109362.28055953982,1045.2074932042979,732.9219468773524,71343.58766837367,48727.50000000001,0.0,272521.7646260791,inf,-1267.2897630388716,10708.807108833862,10708.807108833862,139.39927808811856,25.903975436287958,0.03179678735515005
1.0,74,0.0,112057.96052788662,-112057.96052788662,1045.2074932042979,727.0819623868464,72725.27270983094,50041.5,0.0,272521.75955296867,inf,-1311.0895939351894,10708.812181944319,10708.812181944319,135.632062121802,25.903975436293532,0.03179680602382533
1.0,76,0.0,114733.81710379772,-114733.81710379772,1045.2074932042979,721.2885113901108,74087.13435885272,51355.49999999999,0.0,272521.754479858,inf,-1354.8894248314994,10708.817255055008,10708.817255055008,132.06312068002532,25.90397543628462,0.031796824692500614
1.0,78,0.0,117390.1005671745,-117390.1005671745,1045.2074932042979,715.5412231043047,75429.42289534007,52669.49999999999,0.0,272521.7494067474,inf,-1398.6892557278138,10708.822328165581,10708.822328165581,128.67720187628902,25.903975436290157,0.03179684336117589
1.0,80,0.0,120027.05846800942,-120027.05846800942,1045.2074932042979,709.8397297010158,76752.38586928557,53983.5,0.0,272521.74433363683,inf,-1442.4890866241283,10708.827401276154,10708.827401276154,125.46057901274294,25.903975436291272,0.03179686202985118
1.0,82,0.0,122644.93565400076,-122644.93565400076,1045.2074932042979,704.1836662827203,78056.26812838737,55297.5,0.0,272521.7392605264,inf,-1486.2889175204464,10708.83247438661,10708.83247438661,122.40086458156422,25.903975436288956,0.031796880698526465
1.0,84,0.0,125243.97429789905,-125243.97429789905,1045.2074932042979,698.5726708594286,79341.31184539631,56611.5,0.0,272521.73418741574,inf,-1530.0887484167586,10708.837547497242,10708.837547497242,119.4868508375864,25.90397543629252,0.03179689936720175
1.0,86,0.0,127824.41392459109,-127824.41392459109,1045.2074932042979,693.0063843255186,80607.7565451989,57925.5,0.0,272521.72911430517,inf,-1573.8885793130728,10708.842620607815,10708.842620607815,116.70837261658095,25.903975436286853,0.03179691803587703
1.0,88,0.0,130386.4914379201,-130386.4914379201,1045.2074932042979,687.4844504367522,81855.8391316385,59239.49999999999,0.0,272521.7240411946,inf,-1617.6884102093868,10708.847693718388,10708.847693718388,114.05618886017045,25.90397543628649,0.03179693670455232
1.0,90,0.0,132930.44114724814,-132930.44114724814,1045.2074932042979,682.0065157874757,83085.79391407712,60553.49999999999,0.0,272521.718968084,inf,-1661.488241105701,10708.85276682896,10708.85276682896,111.52187993737563,25.903975436292164,0.031796955373227596
1.0,92,0.0,135456.49479376088,-135456.49479376088,1045.2074932042979,676.5722297880014,84297.85263370043,61867.5,0.0,272521.71389497345,inf,-1705.2880720020155,10708.857839939534,10708.857839939534,109.09775835904934,25.903975436289624,0.03179697404190288
1.0,94,0.0,137964.88157651827,-137964.88157651827,1045.2074932042979,671.1812446421709,85492.24448956837,63181.5,0.0,272521.7088218629,inf,-1749.08790289833,10708.862913050107,10708.862913050107,106.77679089043922,25.903975436287745,0.03179699271057817
1.0,96,0.0,140455.82817825268,-140455.82817825268,1045.2074932042979,665.8332153250944,86669.19616441337,64495.5,0.0,272521.7037487523,inf,-1792.887733794644,10708.86798616068,10708.86798616068,104.55253039968999,25.903975436294342,0.031797011379253455
1.0,98,0.0,142929.55879091794,-142929.55879091794,1045.2074932042979,660.5277995610703,87828.9318501892,65809.5,0.0,272521.69867564173,inf,-1836.6875646909584,10708.873059271253,10708.873059271253,102.41905605141848,25.90397543628927,0.031797030047928734
1.0,100,0.0,145386.29514099035,-145386.29514099035,1045.2074932042979,655.2646578016788,88971.67327337219,67123.5,0.0,272521.69360253116,inf,-1880.4873955872722,10708.878132381826,10708.878132381826,100.37092067707901,25.90397543629022,0.03179704871660402
2.0,0,0.042686262514749274,-5611.803761391424,5611.803761391424,1043.1191672399623,0.0,7086.238334479925,2847.0,561.2311472703545,268246.760786312,16.741726671666846,423.2680698623783,15545.042095871348,15545.042095871348,0.0,0.0,0.05236670732282563
2.0,2,0.020898098226087125,-3337.9476910706326,3337.9476910706326,1043.1191672399623,969.7508780298202,9373.740090539566,4161.0,353.13776007814965,266711.02171338093,22.12233399273795,423.72292605367335,16872.6877816102,16872.6877816102,2837.6439541133714,25.903975436290573,0.05667806174019494
2.0,4,0.004397455420804386,-809.5372201481223,809.5372201481223,1043.1191672399623,962.0238204468434,11630.333616267297,5475.0,226.04351303601746,265541.7444115336,28.047719552412826,414.66236121384736,17914.87083641542,17914.87083641542,2285.378904731222,25.903975436290573,0.05931125610738528
2.0,6,-0.009623331917342992,1970.3769555402541,-1970.3769555402541,1043.1191672399623,954.3583327167466,13856.388330780404,6789.0,143.3612215924495,264698.9215812653,34.97318291225456,396.2003791746717,18675.011375240152,18675.011375240152,1899.418771146681,25.903975436294342,0.06102431304275384
2.0,8,-0.022591417595099972,5004.984760169817,-5004.984760169817,1043.1191672399623,946.7539242456988,16052.269728445513,8103.0,91.39477790357142,264171.68154454086,43.59153341624448,368.2428322758566,19150.284968275697,19150.284968275697,1601.725772788714,25.903975436290573,0.062100990548762516
2.0,10,-0.03503556125740148,8219.799393695153,-8219.799393695153,1043.1191672399623,939.210108348962,18218.339417969542,9417.0,56.491918922586294,263871.5236295612,54.66299891905972,333.28466747581297,19415.54002427439,19415.54002427439,1376.5728855991492,25.903975436291272,0.06282413906396347
2.0,12,-0.047242904853174505,11535.508381624197,-11535.508381624197,1043.1191672399623,931.7264022197439,20354.95516111685,10731.0,31.211884959650824,263711.33684038,69.23888426351314,293.98155931642174,19550.446779492653,19550.446779492653,1204.6009708890977,25.903975436294342,0.06334791948543335
