datetime,ac_output_kwh,PV_Generation_Actual (kWh),month,day,hour,minute
2024-01-02 14:00:00,1.6720544688996333,1.6720544688996333,1,2,14,0
2024-01-02 14:30:00,1.6126274862487429,1.6126274862487429,1,2,14,30
2024-01-02 15:00:00,1.4213674105668637,1.4213674105668637,1,2,15,0
2024-01-02 15:30:00,1.1878329219460535,1.1878329219460535,1,2,15,30
2024-01-02 16:00:00,0.9588907004394172,0.9588907004394172,1,2,16,0
2024-01-02 16:30:00,0.7615290156964406,0.7615290156964406,1,2,16,30
2024-01-02 17:00:00,0.5859144957910851,0.5859144957910851,1,2,17,0
2024-01-02 17:30:00,0.41643763417463164,0.41643763417463164,1,2,17,30
2024-01-02 18:00:00,0.25120602738316655,0.25120602738316655,1,2,18,0
2024-01-02 18:30:00,0.09930328928593343,0.09930328928593343,1,2,18,30
2024-01-02 19:00:00,5.204170427930421e-18,5.204170427930421e-18,1,2,19,0
2024-01-02 19:30:00,0.0,0.0,1,2,19,30
2024-01-02 20:00:00,3.2526065174565133e-19,3.2526065174565133e-19,1,2,20,0
2024-01-02 20:30:00,0.004874066608465997,0.004874066608465997,1,2,20,30
2024-01-02 21:00:00,6.505213034913027e-19,6.505213034913027e-19,1,2,21,0
2024-01-02 21:30:00,0.0,0.0,1,2,21,30
2024-01-02 22:00:00,5.421010862427522e-20,5.421010862427522e-20,1,2,22,0
2024-01-02 22:30:00,0.0003343966554863306,0.0003343966554863306,1,2,22,30
2024-01-02 23:00:00,0.0,0.0,1,2,23,0
2024-01-02 23:30:00,0.0,0.0,1,2,23,30
2024-01-03 00:00:00,0.0,0.0,1,3,0,0
2024-01-03 00:30:00,0.0,0.0,1,3,0,30
2024-01-03 01:00:00,0.0,0.0,1,3,1,0
2024-01-03 01:30:00,0.0008055245325867058,0.0008055245325867058,1,3,1,30
2024-01-03 02:00:00,0.0,0.0,1,3,2,0
2024-01-03 02:30:00,0.0,0.0,1,3,2,30
2024-01-03 03:00:00,8.673617379884035e-19,8.673617379884035e-19,1,3,3,0
2024-01-03 03:30:00,0.011312814262171126,0.011312814262171126,1,3,3,30
2024-01-03 04:00:00,0.0,0.0,1,3,4,0
2024-01-03 04:30:00,0.0,0.0,1,3,4,30
2024-01-03 05:00:00,0.031257643052615136,0.031257643052615136,1,3,5,0
2024-01-03 05:30:00,0.3286148494858023,0.3286148494858023,1,3,5,30
2024-01-03 06:00:00,0.7744325767842579,0.7744325767842579,1,3,6,0
2024-01-03 06:30:00,1.2540156107227194,1.2540156107227194,1,3,6,30
2024-01-03 07:00:00,1.7104092773320014,1.7104092773320014,1,3,7,0
2024-01-03 07:30:00,2.108721215387409,2.108721215387409,1,3,7,30
2024-01-03 08:00:00,2.444567774386133,2.444567774386133,1,3,8,0
2024-01-03 08:30:00,2.724869074838833,2.724869074838833,1,3,8,30
2024-01-03 09:00:00,2.97125161058816,2.97125161058816,1,3,9,0
2024-01-03 09:30:00,3.199073565526464,3.199073565526464,1,3,9,30
2024-01-03 10:00:00,3.3839135104129046,3.3839135104129046,1,3,10,0
2024-01-03 10:30:00,3.501718682232427,3.501718682232427,1,3,10,30
2024-01-03 11:00:00,3.5696905960063274,3.5696905960063274,1,3,11,0
2024-01-03 11:30:00,3.606763338453058,3.606763338453058,1,3,11,30
2024-01-03 12:00:00,3.5975470050433334,3.5975470050433334,1,3,12,0
2024-01-03 12:30:00,3.52462797139824,3.52462797139824,1,3,12,30
2024-01-03 13:00:00,3.3968217249880808,3.3968217249880808,1,3,13,0
2024-01-03 13:30:00,3.227953885826314,3.227953885826314,1,3,13,30
2024-01-03 14:00:00,3.0256614922498093,3.0256614922498093,1,3,14,0
2024-01-03 14:30:00,2.7952163978132143,2.7952163978132143,1,3,14,30
2024-01-03 15:00:00,2.538618298618896,2.538618298618896,1,3,15,0
2024-01-03 15:30:00,2.251855577231467,2.251855577231467,1,3,15,30
2024-01-03 16:00:00,1.9101435195168117,1.9101435195168117,1,3,16,0
2024-01-03 16:30:00,1.4949560357263754,1.4949560357263754,1,3,16,30
2024-01-03 17:00:00,1.0335746303525803,1.0335746303525803,1,3,17,0
2024-01-03 17:30:00,0.5767320661743638,0.5767320661743638,1,3,17,30
2024-01-03 18:00:00,0.22315854487575257,0.22315854487575257,1,3,18,0
2024-01-03 18:30:00,0.049991518297227644,0.049991518297227644,1,3,18,30
2024-01-03 19:00:00,2.6020852139652106e-18,2.6020852139652106e-18,1,3,19,0
2024-01-03 19:30:00,0.0,0.0,1,3,19,30
2024-01-03 20:00:00,9.75781955236954e-19,9.75781955236954e-19,1,3,20,0
2024-01-03 20:30:00,0.0015852760178942111,0.0015852760178942111,1,3,20,30
2024-01-03 21:00:00,8.131516293641283e-20,8.131516293641283e-20,1,3,21,0
2024-01-03 21:30:00,0.0,0.0,1,3,21,30
2024-01-03 22:00:00,0.0,0.0,1,3,22,0
2024-01-03 22:30:00,9.716406276037981e-05,9.716406276037981e-05,1,3,22,30
2024-01-03 23:00:00,6.776263578034403e-21,6.776263578034403e-21,1,3,23,0
2024-01-03 23:30:00,3.195376912212833e-05,3.195376912212833e-05,1,3,23,30
2024-01-04 00:00:00,0.0,0.0,1,4,0,0
2024-01-04 00:30:00,0.0,0.0,1,4,0,30
2024-01-04 01:00:00,1.0842021724855044e-19,1.0842021724855044e-19,1,4,1,0
2024-01-04 01:30:00,0.0008679627878734443,0.0008679627878734443,1,4,1,30
2024-01-04 02:00:00,0.0,0.0,1,4,2,0
2024-01-04 02:30:00,0.0,0.0,1,4,2,30
2024-01-04 03:00:00,8.673617379884035e-19,8.673617379884035e-19,1,4,3,0
2024-01-04 03:30:00,0.012119525261106098,0.012119525261106098,1,4,3,30
2024-01-04 04:00:00,0.0,0.0,1,4,4,0
2024-01-04 04:30:00,0.0,0.0,1,4,4,30
2024-01-04 05:00:00,0.026660473824751674,0.026660473824751674,1,4,5,0
2024-01-04 05:30:00,0.3323432491456021,0.3323432491456021,1,4,5,30
2024-01-04 06:00:00,0.8017538635536401,0.8017538635536401,1,4,6,0
2024-01-04 06:30:00,1.322753410310524,1.322753410310524,1,4,6,30
2024-01-04 07:00:00,1.828292137007767,1.828292137007767,1,4,7,0
2024-01-04 07:30:00,2.2723808353638493,2.2723808353638493,1,4,7,30
2024-01-04 08:00:00,2.6481833192752666,2.6481833192752666,1,4,8,0
2024-01-04 08:30:00,2.961360374299313,2.961360374299313,1,4,8,30
2024-01-04 09:00:00,3.2284076504584616,3.2284076504584616,1,4,9,0
2024-01-04 09:30:00,3.4609700736076157,3.4609700736076157,1,4,9,30
2024-01-04 10:00:00,3.6404548084662496,3.6404548084662496,1,4,10,0
2024-01-04 10:30:00,3.7519082780641475,3.7519082780641475,1,4,10,30
2024-01-04 11:00:00,3.8251716998077834,3.8251716998077834,1,4,11,0
2024-01-04 11:30:00,3.8847930966092976,3.8847930966092976,1,4,11,30
2024-01-04 12:00:00,3.889352919026808,3.889352919026808,1,4,12,0
2024-01-04 12:30:00,3.7987560155374465,3.7987560155374465,1,4,12,30
2024-01-04 13:00:00,3.6441723986484216,3.6441723986484216,1,4,13,0
2024-01-04 13:30:00,3.4640580227643474,3.4640580227643474,1,4,13,30
2024-01-04 14:00:00,3.254747445849391,3.254747445849391,1,4,14,0
2024-01-04 14:30:00,3.0056680599637016,3.0056680599637016,1,4,14,30
2024-01-04 15:00:00,2.720739989991812,2.720739989991812,1,4,15,0
2024-01-04 15:30:00,2.4019518975291194,2.4019518975291194,1,4,15,30
2024-01-04 16:00:00,2.0290738581900905,2.0290738581900905,1,4,16,0
2024-01-04 16:30:00,1.5862432512601043,1.5862432512601043,1,4,16,30
2024-01-04 17:00:00,1.097285256689122,1.097285256689122,1,4,17,0
2024-01-04 17:30:00,0.6106425497729265,0.6106425497729265,1,4,17,30
2024-01-04 18:00:00,0.23353998652601063,0.23353998652601063,1,4,18,0
2024-01-04 18:30:00,0.050943356165457,0.050943356165457,1,4,18,30
2024-01-04 19:00:00,6.505213034913027e-19,6.505213034913027e-19,1,4,19,0
2024-01-04 19:30:00,0.0,0.0,1,4,19,30
2024-01-04 20:00:00,0.0,0.0,1,4,20,0
2024-01-04 20:30:00,0.0015605664956291137,0.0015605664956291137,1,4,20,30
2024-01-04 21:00:00,0.0,0.0,1,4,21,0
2024-01-04 21:30:00,0.0,0.0,1,4,21,30
2024-01-04 22:00:00,0.0,0.0,1,4,22,0
2024-01-04 22:30:00,9.707308910192604e-05,9.707308910192604e-05,1,4,22,30
2024-01-04 23:00:00,0.0,0.0,1,4,23,0
2024-01-04 23:30:00,2.6117539775055755e-05,2.6117539775055755e-05,1,4,23,30
2024-01-05 00:00:00,0.0,0.0,1,5,0,0
2024-01-05 00:30:00,0.0,0.0,1,5,0,30
2024-01-05 01:00:00,0.0,0.0,1,5,1,0
2024-01-05 01:30:00,0.000780055453033541,0.000780055453033541,1,5,1,30
2024-01-05 02:00:00,0.0,0.0,1,5,2,0
2024-01-05 02:30:00,0.0,0.0,1,5,2,30
