pv_kw,battery_kwh,IRR,NPC
5.0,116,,487599.7631001966
5.0,118,,496517.7501193191
5.0,120,,505435.7371384417
5.0,122,,514353.7241575642
5.0,124,,523271.7111766868
5.0,126,,532189.6981958093
5.0,128,,541107.6852149318
5.0,130,,550025.6722340544
5.0,132,,558943.659253177
5.0,134,,567861.6462722996
5.0,136,,576779.6332914222
5.0,138,,585697.6203105447
5.0,140,,594615.6073296673
5.0,142,,603533.5943487898
5.0,144,,612451.5813679124
5.0,146,,621369.5683870348
5.0,148,,630287.5554061574
5.0,150,,639205.54242528
5.0,152,,648123.5294444025
5.0,154,,657041.5164635251
5.0,156,,665959.5034826477
5.0,158,,674877.4905017702
5.0,160,,683795.4775208927
5.0,162,,692713.4645400152
5.0,164,,701631.4515591378
5.0,166,,710549.4385782604
5.0,168,,719467.425597383
5.0,170,,728385.4126165055
5.0,172,,737303.3996356281
5.0,174,,746221.3866547507
5.0,176,,755139.3736738731
5.0,178,,764057.3606929956
5.0,180,,772975.3477121182
5.0,182,,781893.3347312408
5.0,184,,790811.3217503633
5.0,186,,799729.3087694859
5.0,188,,808647.2957886085
5.0,190,,817565.2828077311
5.0,192,,826483.2698268534
5.0,194,,835401.2568459761
5.0,196,,844319.2438650987
5.0,198,,853237.2308842213
5.0,200,,862155.2179033437
6.0,0,0.09485387111597277,-22512.433739014396
6.0,2,0.06080028285715722,-15993.081083056837
6.0,4,0.03294153166502389,-9250.357457457936
6.0,6,0.008064607165330528,-2343.006104126631
6.0,8,-0.016503146124447476,4798.4361077245885
6.0,10,-0.04397808219142485,12229.516144831587
6.0,12,-0.08252694795977666,20017.34997089553
6.0,14,,28101.78447026201
6.0,16,,36390.93048620558
6.0,18,,44845.57637529376
6.0,20,,53418.32202454908
6.0,22,,62057.82603831526
6.0,24,,70758.67379098819
6.0,26,,79519.30209224236
6.0,28,,88331.22544755858
6.0,30,,97165.09812593303
6.0,32,,106017.87741885766
6.0,34,,114887.89125765291
6.0,36,,123769.2697450079
6.0,38,,132655.57867861792
6.0,40,,141550.18937462804
6.0,42,,150450.79017855006
6.0,44,,159357.3900088612
6.0,46,,168266.62700701944
6.0,48,,177175.73158509698
6.0,50,,186084.4236082837
6.0,52,,194992.20670145954
6.0,54,,203897.72028772437
6.0,56,,212804.68855711742
6.0,58,,221715.7236381199
6.0,60,,230630.26660868994
6.0,62,,239544.7202951352
6.0,64,,248459.04147753652
6.0,66,,257373.63667932796
6.0,68,,266288.27513953525
6.0,70,,275203.6305797208
6.0,72,,284120.15279014845
6.0,74,,293036.88796969946
6.0,76,,301953.7120384689
6.0,78,,310871.1362805966
6.0,80,,319788.78431019787
6.0,82,,328706.43233979895
6.0,84,,337624.0803694002
6.0,86,,346541.7283990014
6.0,88,,355459.37642860267
6.0,90,,364377.0244582038
6.0,92,,373294.6724878051
6.0,94,,382212.32051740633
6.0,96,,391130.0649384868
6.0,98,,400048.01852468145
6.0,100,,408966.00554380397
6.0,102,,417883.99256292655
6.0,104,,426801.9795820491
6.0,106,,435719.9666011716
6.0,108,,444637.9536202942
6.0,110,,453555.9406394168
6.0,112,,462473.9276585393
6.0,114,,471391.91467766184
6.0,116,,480309.9016967844
6.0,118,,489227.888715907
6.0,120,,498145.8757350295
6.0,122,,507063.86275415204
6.0,124,,515981.8497732746
6.0,126,,524899.8367923972
6.0,128,,533817.8238115197
6.0,130,,542735.8108306422
6.0,132,,551653.7978497648
6.0,134,,560571.7848688874
6.0,136,,569489.77188801
6.0,138,,578407.7589071325
6.0,140,,587325.745926255
6.0,142,,596243.7329453776
6.0,144,,605161.7199645002
6.0,146,,614079.7069836226
6.0,148,,622997.6940027452
6.0,150,,631915.6810218678
6.0,152,,640833.6680409904
6.0,154,,649751.655060113
6.0,156,,658669.6420792355
6.0,158,,667587.629098358
6.0,160,,676505.6161174806
6.0,162,,685423.603136603
6.0,164,,694341.5901557256
6.0,166,,703259.5771748482
6.0,168,,712177.5641939708
6.0,170,,721095.5512130933
6.0,172,,730013.5382322159
6.0,174,,738931.5252513385
6.0,176,,747849.512270461
6.0,178,,756767.4992895835
6.0,180,,765685.486308706
6.0,182,,774603.4733278286
6.0,184,,783521.4603469511
6.0,186,,792439.4473660737
6.0,188,,801357.4343851963
6.0,190,,810275.4214043189
6.0,192,,819193.4084234412
6.0,194,,828111.3954425638
6.0,196,,837029.3824616865
6.0,198,,845947.3694808091
6.0,200,,854865.3564999315
7.0,0,0.0997975394752062,-26124.046538213777
7.0,2,0.06871894181894156,-19894.29852154775
7.0,4,0.043269016749334144,-13430.540983641724
7.0,6,0.021020369616295387,-6824.685241066556
7.0,8,2.5159272376784614e-05,-8.343225323990055
7.0,10,-0.021631630485508202,7124.420050995925
7.0,12,-0.04648694113503837,14613.103129715604
7.0,14,-0.0803009509275473,22384.746648719305
7.0,16,-0.18314778070008453,30391.753794356777
7.0,18,,38581.606636291646
7.0,20,,46942.82484373466
7.0,22,,55427.88553333657
7.0,24,,64014.37725125897
7.0,26,,72660.0648353167
7.0,28,,81349.80229888734
7.0,30,,90095.80739844101
7.0,32,,98888.22035038452
7.0,34,,107719.48087101991
7.0,36,,116570.89281429646
7.0,38,,125434.45334665517
7.0,40,,134309.1610549544
7.0,42,,143189.76824287308
7.0,44,,152075.72243386199
7.0,46,,160968.6097217068
7.0,48,,169862.80473285617
7.0,50,,178760.44196798844
7.0,52,,187661.12517360933
7.0,54,,196566.12592664882
7.0,56,,205473.7798364455
7.0,58,,214381.58545355103
7.0,60,,223288.86279737065
7.0,62,,232196.7617433411
7.0,64,,241104.3717441558
7.0,66,,250011.2840739043
7.0,68,,258918.94047130007
7.0,70,,267827.4389566958
7.0,72,,276735.7159740883
7.0,74,,285643.23840366455
7.0,76,,294551.8321881692
7.0,78,,303462.32506056206
7.0,80,,312374.3136907962
7.0,82,,321286.6411952549
7.0,84,,330199.61042949016
7.0,86,,339112.59995526576
7.0,88,,348025.3231325642
7.0,90,,356938.93235477834
7.0,92,,365852.8205975756
7.0,94,,374766.9933685614
7.0,96,,383681.65081786306
7.0,98,,392597.39096268284
7.0,100,,401513.7788608254
7.0,102,,410430.40401913086
7.0,104,,419347.22016966634
7.0,106,,428264.06752170937
7.0,108,,437181.1106827553
7.0,110,,446098.5045417141
7.0,112,,455016.12725744053
7.0,114,,463933.77528704173
7.0,116,,472851.42331664293
7.0,118,,481769.07134624413
7.0,120,,490686.71937584534
7.0,122,,499604.3674054466
7.0,124,,508522.01543504774
7.0,126,,517439.66346464906
7.0,128,,526357.3114942503
7.0,130,,535274.9860477273
7.0,132,,544192.8135408218
7.0,134,,553110.7913142111
7.0,136,,562028.7783333336
7.0,138,,570946.7653524561
7.0,140,,579864.7523715787
7.0,142,,588782.7393907013
7.0,144,,597700.7264098239
7.0,146,,606618.7134289464
7.0,148,,615536.700448069
7.0,150,,624454.6874671915
7.0,152,,633372.6744863141
7.0,154,,642290.6615054366
7.0,156,,651208.6485245591
7.0,158,,660126.6355436817
7.0,160,,669044.6225628043
7.0,162,,677962.6095819268
7.0,164,,686880.5966010494
7.0,166,,695798.583620172
7.0,168,,704716.5706392945
7.0,170,,713634.557658417
7.0,172,,722552.5446775395
7.0,174,,731470.5316966621
7.0,176,,740388.5187157847
7.0,178,,749306.5057349072
7.0,180,,758224.4927540298
7.0,182,,767142.4797731523
7.0,184,,776060.4667922748
7.0,186,,784978.4538113974
7.0,188,,793896.4408305199
7.0,190,,802814.4278496425
7.0,192,,811732.414868765
7.0,194,,820650.4018878876
7.0,196,,829568.3889070102
7.0,198,,838486.3759261328
7.0,200,,847404.3629452552
8.0,0,0.1030156477706008,-29415.190927848605
8.0,2,0.07450301631872547,-23449.571902500567
8.0,4,0.05103326149353404,-17246.32767130599
8.0,6,0.030647965837055313,-10892.418154504223
8.0,8,0.011827948621557782,-4338.02465079488
8.0,10,-0.00675063784936758,2503.9758044278005
8.0,12,-0.02653931868711068,9709.756002271279
8.0,14,-0.04936816152291568,17213.894091407707
8.0,16,-0.07985354245272935,24950.239860636724
8.0,18,-0.1484462196388422,32896.8224448259
8.0,20,,41016.542659736464
8.0,22,,49272.86818874697
8.0,24,,57649.90375058392
8.0,26,,66137.65133610988
8.0,28,,74714.89377684421
8.0,30,,83358.82976591501
8.0,32,,92057.25050109588
8.0,34,,100806.80560201537
8.0,36,,109594.40401770748
8.0,38,,118408.05451250712
8.0,40,,127245.16807865968
8.0,42,,136097.75573060877
8.0,44,,144959.49125690918
8.0,46,,153830.7956423253
8.0,48,,162709.58354002304
8.0,50,,171593.0551808763
8.0,52,,180483.41843209838
8.0,54,,189378.5251516338
8.0,56,,198272.570711773
8.0,58,,207167.7522583955
8.0,60,,216064.46047159546
8.0,62,,224964.67245764573
8.0,64,,233866.98779453285
8.0,66,,242771.28300039805
8.0,68,,251675.6843116517
8.0,70,,260580.84270376514
8.0,72,,269486.6959404194
8.0,74,,278392.42420253495
8.0,76,,287298.9807514816
8.0,78,,296205.97724185797
8.0,80,,305114.09032736224
8.0,82,,314021.5807550108
8.0,84,,322929.5769738356
8.0,86,,331837.9406467795
8.0,88,,340747.0770694862
8.0,90,,349656.8928897655
8.0,92,,358566.20663969027
8.0,94,,367475.2520970322
8.0,96,,376385.45632713
8.0,98,,385296.7613873337
8.0,100,,394208.18874766387
8.0,102,,403119.69556288974
8.0,104,,412031.4248576492
8.0,106,,420943.85279292363
8.0,108,,429856.74095928256
8.0,110,,438769.31652704
8.0,112,,447682.2230504169
8.0,114,,456595.6645368736
8.0,116,,465509.7564892073
8.0,118,,474424.52330457163
8.0,120,,483339.5352537887
8.0,122,,492254.7461150467
8.0,124,,501170.1176792733
8.0,126,,510085.86737781146
8.0,128,,519002.2723803238
8.0,130,,527919.0706561175
8.0,132,,536835.886806653
8.0,134,,545752.7029571885
8.0,136,,554669.519107724
8.0,138,,563586.3352582594
8.0,140,,572503.1514087949
8.0,142,,581419.9675593304
8.0,144,,590336.7837098659
8.0,146,,599253.5998604014
8.0,148,,608170.5795735247
8.0,150,,617087.8631278586
8.0,152,,626005.3541977557
8.0,154,,634922.9885029073
8.0,156,,643840.6365325084
8.0,158,,652758.2845621096
8.0,160,,661675.9325917109
8.0,162,,670593.5806213121
8.0,164,,679511.2286509133
8.0,166,,688428.8766805145
8.0,168,,697346.5247101159
8.0,170,,706264.172739717
8.0,172,,715181.8207693181
8.0,174,,724099.4687989195
8.0,176,,733017.1168285207
8.0,178,,741934.8282574038
8.0,180,,750852.6652337343
8.0,182,,759770.6253721106
8.0,184,,768688.6123912332
8.0,186,,777606.5994103558
8.0,188,,786524.5864294784
8.0,190,,795442.573448601
