battery_kwh,additional_pv_kw,irr,npv,total_additional_pv,total_system_pv,accommodation_block_kw,small_shed_kw,ground_mounted_kw,pi,distance
2.9520150636250132e-05,9.55929805434958,0.16269968482372243,12973.42176571332,9.55929805434958,19.55929805434958,9.55929805434958,0.0,0.0,1.3208668126247127,1.0
18.45802107399505,47.08022098753911,0.11482254423708,40235.39741245477,47.08022098753911,57.08022098753911,33.0,10.0,4.080220987539107,0.5926713734291796,1.0
11.185633657050861,32.927703292959066,0.1321779168409883,37904.72756845734,32.927703292959066,42.927703292959066,32.927703292959066,0.0,0.0,0.8481784299951513,0.643208739713467
0.0345408689885329,22.318397052576884,0.15278369946359266,26079.73810594817,22.318397052576884,32.318397052576884,22.318397052576884,0.0,0.0,1.1646157183173163,0.5590275385933607
0.002219704163985204,24.156832999551945,0.15124349749822016,27497.357128569805,24.156832999551945,34.156832999551945,24.156832999551945,0.0,0.0,1.1405548222350783,0.5249522761806833
7.91146889091363,33.05760521523351,0.13526627724053536,36939.880309197026,33.05760521523351,43.05760521523351,33.0,0.057605215233508034,0.0,0.8947896736792642,0.5856083375540182
11.392409216959468,35.68779458873688,0.1293334465128041,38485.220052740005,35.68779458873688,45.68779458873688,33.0,2.687794588736878,0.0,0.8055332716008395,0.6998644445247632
16.928564175617254,38.24082442206952,0.1226251503216019,39680.21469204911,38.24082442206952,48.24082442206952,33.0,5.240824422069522,0.0,0.7061105981825772,0.8372762677202902
0.026160302752045173,16.780316355385246,0.15766806850883636,21132.06752690334,16.780316355385246,26.780316355385246,16.780316355385246,0.0,0.0,1.2413002202520111,0.7085687696002162
2.9520150636250132e-05,15.90958710219596,0.15854725422222798,20258.721663813074,15.90958710219596,25.90958710219596,15.90958710219596,0.0,0.0,1.255162636004679,0.737881912781532
4.767951917495962,32.81789157946887,0.13830379326459608,35368.92497655927,32.81789157946887,42.81789157946887,32.81789157946887,0.0,0.0,0.9409345768659345,0.5399150051302845
12.853919390162249,39.28012552195174,0.12495788970476455,39261.51861693044,39.28012552195174,49.28012552195174,33.0,6.280125521951739,0.0,0.7404943421000125,0.7891141204203599
0.03438087052807326,25.92676076547425,0.1496056681256897,28790.846174128346,25.92676076547425,35.92676076547425,25.92676076547425,0.0,0.0,1.1150348014872367,0.5010280723038262
15.645313728160101,41.24590305758826,0.12138102704009976,39852.19384206388,41.24590305758826,51.24590305758826,33.0,8.245903057588258,0.0,0.6878583264752977,0.8631287806716661
1.4775309235199305,33.11078129492716,0.1415229390658086,33825.94231800167,33.11078129492716,43.11078129492716,33.0,0.1107812949271576,0.0,0.990149906280076,0.5009159841447813
3.1972199563026655,33.11078129492716,0.13960843579443705,34697.498096475654,33.11078129492716,43.11078129492716,33.0,0.1107812949271576,0.0,0.9608426101991399,0.5233352470115633
6.937402106339997,32.60534279039243,0.13638345378865013,36282.13674566377,32.60534279039243,42.60534279039243,32.60534279039243,0.0,0.0,0.9117274417600002,0.568468041269167
6.030484536776157,32.61350956746773,0.13722165642517528,35872.05244386595,32.61350956746773,42.61350956746773,32.61350956746773,0.0,0.0,0.9244617328752701,0.5557022780377051
9.19448357534873e-05,12.52092675940486,0.16134813869583073,16618.503240453592,12.52092675940486,22.52092675940486,12.52092675940486,0.0,0.0,1.2994401179706137,0.8667541294697725
1.8074673486893292e-05,21.483438507460427,0.15361661993066061,25382.36215953152,21.483438507460427,31.483438507460427,21.483438507460427,0.0,0.0,1.1776520650481659,0.576912174560931
17.754696575355503,44.66622904678508,0.11721928884615701,40174.529823206954,44.66622904678508,54.66622904678508,33.0,10.0,1.6662290467850767,0.6272508250429741,0.9499423115162483
0.004577360988937684,10.644806267766764,0.16241593596048237,14373.051963978674,10.644806267766764,20.644806267766764,10.644806267766764,0.0,0.0,1.3163651889307169,0.9486784990644482
2.4524542120693332e-05,13.548756307015198,0.16056600845179403,17774.665188771796,13.548756307015198,23.548756307015196,13.548756307015198,0.0,0.0,1.287058556052127,0.8250894230943371
2.9520150636250132e-05,20.042341380346468,0.154895413125074,24152.367898512643,20.042341380346468,30.042341380346468,20.042341380346468,0.0,0.0,1.1976998113033575,0.6120494603748746
0.04461425992533741,17.572954347741376,0.15690406412464455,21905.469785381276,17.572954347741376,27.572954347741376,17.572954347741376,0.0,0.0,1.2292682537933055,0.6831725853032913
0.012689318721600881,28.22598260056528,0.14761376745304344,30303.765841006603,28.22598260056528,38.22598260056528,28.22598260056528,0.0,0.0,1.0840919816260541,0.4816666640714556
18.139839892124098,41.56992907084763,0.1193176874582313,40005.27046037491,41.56992907084763,51.56992907084763,33.0,8.569929070847628,0.0,0.6577222663655505,0.9061501857174611
3.830595408287353e-07,10.105861045732931,0.1626243469042837,13687.761141461262,10.105861045732931,20.10586104573293,10.105861045732931,0.0,0.0,1.3196714246517245,0.9737984977706386
13.718493381121984,35.98342745476137,0.12707521181086961,39011.42853737161,35.98342745476137,45.98342745476137,33.0,2.983427454761369,0.0,0.7718796140374653,0.7454343090439206
0.001466372486071954,30.612551686906535,0.1455590234794218,31734.99337740948,30.612551686906535,40.612551686906535,30.612551686906535,0.0,0.0,1.0522845270014403,0.4747584985289934
0.0017004264162236017,14.35736686725247,0.15989119843234592,18651.583271052175,14.35736686725247,24.35736686725247,14.35736686725247,0.0,0.0,1.2763866516010016,0.7938887988658766
13.805548092960295,37.28213388865388,0.1259179443112978,39223.93673281025,37.28213388865388,47.28213388865388,33.0,4.282133888653881,0.0,0.7547048046385509,0.7691480151037031
