year,peak_rate,offpeak_rate,export_rate,import_cost,export_revenue,maintenance_cost,net_cost
1,0.3971,0.1353,0.033,6940.970776922665,238.82492282112517,250,6952.145854
2,0.409013,0.139359,0.03399,7149.1999002303455,245.9896705057589,250,7153.2102297245865
3,0.42128339,0.14353977,0.0350097,7363.675897237255,253.36936062093167,250,7360.306536616324
4,0.433921892,0.147845963,0.036059991,7584.586174154374,260.97044143955964,250,7573.615732714814
5,0.4469395484510001,0.15228134199300003,0.037141790730000006,7812.123759379006,268.7995546827465,250,7793.324204696259
6,0.460347735,0.156849782,0.038256044451900006,8046.487472160374,276.86354132322884,250,8019.623930837145
7,0.47415816695166596,0.16155527572037373,0.039403725785457006,8287.882096325187,285.1694475629257,250,8252.712648762263
8,0.488382912,0.16640193399198494,0.040585838,8536.518559214943,293.7245309898135,250,8492.794028
9,0.5030343993190225,0.1713939920117445,0.041803412685791345,8792.614115991391,302.53626691950797,250,8740.077849071884
10,0.5181254312985931,0.17653581177209685,0.043057515066365085,9056.392539471133,311.6123549270932,250,8994.780185
11,0.533669194,0.18183188612525975,0.044349241,9328.084316,320.96072557490595,250,9257.123590080364
12,0.5496792700646775,0.18728684270901755,0.045679717733906715,9607.926845124926,330.58954734215314,250,9527.337297782773
13,0.5661696481666179,0.19290544799028805,0.047050109,9896.164650478673,340.50723376241774,250,9805.657416716256
14,0.5831547376116164,0.19869261142999672,0.048461613,10193.049589993034,350.7224507752903,250,10092.327139217743
15,0.6006493797399649,0.20465338977289665,0.049915460920218695,10498.841077692825,361.2441243,250,10387.596953394275
16,0.6186688611321638,0.21079299146608352,0.051412925,10813.806310023609,372.0814480275055,250,10691.724861996103
17,0.6372289269661288,0.21711678121006606,0.052955312,11138.22049932432,383.2438914683307,250,11004.97660785599
18,0.6563457947751127,0.22363028464636803,0.054543972,11472.367114304048,394.74120821238057,250,11327.625906091667
19,0.6760361686183661,0.2303391931857591,0.056180291,11816.538127733173,406.58344445875207,250,11659.95468327442
20,0.6963172536769171,0.23724936898133187,0.057865699751544354,12171.034271565166,418.7809477925146,250,12002.253323772651
21,0.7172067712872247,0.24436685005077183,0.059601670744090694,12536.165299712124,431.3443762262901,250,12354.820923485833
22,0.7387229744258413,0.25169785555229496,0.061389721,12912.250258703485,444.28470751307873,250,12717.965551190406
23,0.7608846636586166,0.25924879121886385,0.063231412,13299.617766464591,457.6132487384711,250,13092.00451772612
24,0.7837112035683752,0.26702625495542975,0.065128355,13698.60629945853,471.34164620062535,250,13477.264653257904
25,0.8072225396754265,0.2750370426040927,0.067082206,14109.564488442285,485.4818955866441,250,13874.08259285564
26,0.8314392158656893,0.28328815388221545,0.069094672,14532.851423095553,500.04635245424345,250,14282.80507064131
27,0.856382392,0.29178679849868194,0.071167512,14968.836965788421,515.0477430278708,250,14703.78922276055
28,0.8820738641119098,0.3005404024536424,0.073302537,15417.902074762074,530.4991753187069,250,15137.402899443368
29,0.9085360800352671,0.3095566145272517,0.075501613,15880.439137004938,546.4141505782682,250,15584.02498642667
30,0.9357921624363251,0.3188433129630692,0.077766662,16356.852311115084,562.8065750956162,250,16044.045736019469
