Metric,Value
Best IRR (%),16.40%
Best NPV ($),"$40,621.10"
Best IRR Solution - Battery (kWh),0.0 kWh
Best IRR Solution - PV (kW),9.2 kW
Best NPV Solution - Battery (kWh),18.2 kWh
Best NPV Solution - PV (kW),49.2 kW
