Date and Time,Simulated (kWh),Actual (kWh)
2025-06-07,13.401520881,0.0
2025-06-08,14.549396157,0.0
2025-06-09,15.774459197,0.0
2025-06-10,10.290600134,0.0
2025-06-11,10.846243163,0.0
2025-06-12,11.36768933,0.0
2025-06-13,7.461624602,0.0
2025-06-14,9.93943056,0.0
2025-06-15,6.872896372,0.0
2025-06-16,8.584682639,0.0
2025-06-17,9.37299275,0.0
2025-06-18,13.983769773,0.0
2025-06-19,12.445705662,0.0
2025-06-20,6.157132132,0.0
2025-06-21,4.81195384,0.0
2025-06-22,10.208993352,0.0
2025-06-23,10.009491361,0.0
2025-06-24,5.747336172,0.0
2025-06-25,13.305378785,0.0
2025-06-26,6.220916686,0.0
2025-06-27,4.609304452,0.0
2025-06-28,13.529047261,0.0
2025-06-29,3.816113103,0.0
2025-06-30,5.62720163,0.0
2025-07-01,8.905064572,0.0
2025-07-02,15.356775247,0.0
2025-07-03,14.609326073,0.0
2025-07-04,14.887061441,0.0
2025-07-05,17.229983035,0.0
2025-07-06,10.920509596,0.0
2025-07-07,9.08095512,0.0
2025-07-08,10.223396098,0.0
2025-07-09,8.499229091,0.0
2025-07-10,15.14013109,0.0
2025-07-11,2.364307894,0.0
2025-07-12,2.371273663,0.0
2025-07-13,6.164935939,0.0
2025-07-14,15.226871900999999,0.0
2025-07-15,4.107230568,0.0
2025-07-16,14.445370432999999,0.0
2025-07-17,12.220945678,0.0
2025-07-18,14.176292058,0.0
2025-07-19,7.558879814,0.0
2025-07-20,12.447662786,0.0
2025-07-21,10.726503567,0.0
2025-07-22,8.065529027,0.0
2025-07-23,15.544576779,0.0
2025-07-24,7.549806317,0.0
2025-07-25,9.767869022,0.0
2025-07-26,1.069398409,0.0
2025-07-27,9.710485159,0.0
2025-07-28,9.297016426,0.0
2025-07-29,11.203137895,0.0
2025-07-30,10.116070241000001,0.0
2025-07-31,18.147055801,0.0
2025-08-01,15.845398256,0.0
2025-08-02,10.067913751,0.0
2025-08-03,7.046685225,0.0
2025-08-04,9.221667642,0.0
2025-08-05,12.553483923,0.0
2025-08-06,18.453792089,0.0
2025-08-07,18.906443369,0.0
2025-08-08,13.670384457,0.0
2025-08-09,8.842274547,0.0
2025-08-10,9.78411027,0.0
2025-08-11,12.578889468,0.0
2025-08-12,11.519076041,0.0
2025-08-13,12.068370175,0.0
2025-08-14,16.198580041,0.0
2025-08-15,17.641308924,0.0
2025-08-16,17.158519311,0.0
2025-08-17,19.811043389,0.0
2025-08-18,0.9590846510000001,0.0
2025-08-19,10.192311787,0.0
2025-08-20,20.088386504,0.0
2025-08-21,12.996455042,0.0
2025-08-22,6.445347907,0.0
2025-08-23,19.071936004,0.0
2025-08-24,14.391786824,0.0
2025-08-25,16.041906294,0.0
2025-08-26,15.349052438,0.0
2025-08-27,9.635119585,0.0
2025-08-28,8.459291534,9.950660000000001
2025-08-29,15.877794756,8.04018
2025-08-30,14.436269445,11.0139
2025-08-31,8.558283991,9.38435
2025-09-01,12.710441046,3.00847
2025-09-02,16.301700864,11.291879999999999
2025-09-03,10.431740289,12.75713
2025-09-04,10.327659597,13.90631
2025-09-05,10.169020746000001,3.75238
2025-09-06,18.930012353,11.45396
2025-09-07,24.277720413,17.23804
2025-09-08,15.169832023,11.38962
2025-09-09,7.256725065,9.42228
2025-09-10,18.622054680999998,16.98125
2025-09-11,18.304817972,12.9297
2025-09-12,12.271243749,20.44018
2025-09-13,26.769313143,12.27917
2025-09-14,25.924780822,14.170580000000001
2025-09-15,10.762567937,22.30756
2025-09-16,11.493112969,11.7571
2025-09-17,23.357474116,16.82352
2025-09-18,17.341995736,21.82246
2025-09-19,25.941286931,15.10379
2025-09-20,27.015417077000002,7.93405
2025-09-21,12.51248793,11.29496
2025-09-22,16.650972754,12.68157
2025-09-23,24.668861174,14.02033
2025-09-24,27.505877682,3.97518
2025-09-25,9.232352752,6.22748
2025-09-26,20.813516302,25.40666
2025-09-27,18.377194297,24.55389
2025-09-28,26.649996399,24.0487
2025-09-29,8.929592693,4.58956
2025-09-30,16.109002934,19.72524
2025-10-01,23.184609237,14.4825
2025-10-02,29.352137988,25.14304
2025-10-03,28.66017201,23.34707
2025-10-04,28.200597851,8.78309
2025-10-05,27.946690628,18.44991
2025-10-06,16.976821693,13.91394
2025-10-07,14.646312653999999,15.27875
2025-10-08,26.584656543,28.84095
2025-10-09,12.193663965,27.17487
2025-10-10,6.530099494,25.55555
2025-10-11,2.571169221,27.8434
2025-10-12,7.488857974,27.77542
2025-10-13,29.100161895,25.52616
2025-10-14,28.428839231,21.3769
2025-10-15,21.241574662,23.16992
2025-10-16,29.815952895,20.85132
2025-10-17,25.045610236999998,15.72462
2025-10-18,12.878800464,7.00934
2025-10-19,27.531107823,27.11055
2025-10-20,26.340537003999998,28.6799
