Date and Time,Consumed (kWh)
2024-01-01,130.8182356
2024-01-02,133.28641756500002
2024-01-03,143.71712726333334
2024-01-04,151.0985140775
2024-01-05,164.153466056
2024-01-06,155.44565099000002
2024-01-07,155.15284266857142
2024-01-08,162.90665802714287
2024-01-09,167.5891824642857
2024-01-10,165.90040232285713
2024-01-11,168.29520605857144
2024-01-12,165.99821997714284
2024-01-13,173.15156144428573
2024-01-14,178.61625384000004
2024-01-15,178.68318200857144
2024-01-16,171.0664398242857
2024-01-17,167.47982414142854
2024-01-18,163.15657127
2024-01-19,162.67821905142858
2024-01-20,160.84729700857142
2024-01-21,154.41466427
2024-01-22,144.38869768142857
2024-01-23,143.77746803714285
2024-01-24,141.88412093
2024-01-25,139.84892930285716
2024-01-26,139.9521676357143
2024-01-27,140.5475865742857
2024-01-28,138.57686331285714
2024-01-29,139.20219511
2024-01-30,137.6185511842857
2024-01-31,135.7857669
2024-02-01,137.91184694142856
2024-02-02,133.29244115857142
2024-02-03,128.78047104428572
2024-02-04,130.29997783
2024-02-05,130.88602683428573
2024-02-06,136.97734988
2024-02-07,146.64786865857144
2024-02-08,152.22250941714287
2024-02-09,153.48816480285714
2024-02-10,156.9617734157143
2024-02-11,156.92508623999998
2024-02-12,157.51480766571427
2024-02-13,153.59771216714287
2024-02-14,142.60023719857142
2024-02-15,127.08607528714288
2024-02-16,117.98184838428571
2024-02-17,109.26849108142858
2024-02-18,100.35060329428572
2024-02-19,92.99924750000001
2024-02-20,89.72268146857142
2024-02-21,93.54276908142857
2024-02-22,108.36749344285715
2024-02-23,115.79916098000001
2024-02-24,116.54974569285714
2024-02-25,119.79613141000002
2024-02-26,122.74098367714285
2024-02-27,124.06848943428574
2024-02-28,126.86606686
2024-02-29,99.06947087
2024-03-01,93.23244174285715
2024-03-02,93.01059245714286
2024-03-03,90.77669142142857
2024-03-04,89.22056784000002
2024-03-05,86.16283480857143
2024-03-06,78.04957508142857
2024-03-07,90.20086079571429
2024-03-08,91.24583194285715
2024-03-09,91.13132329142856
2024-03-10,91.29185714285713
2024-03-11,91.06671428571428
2024-03-12,91.77399999999999
2024-03-13,96.76585714285714
2024-03-14,105.28742857142858
2024-03-15,103.12171428571428
2024-03-16,100.69742857142857
2024-03-17,99.53842857142857
2024-03-18,101.98928571428571
2024-03-19,108.37742857142858
2024-03-20,109.42585714285714
2024-03-21,110.10971428571429
2024-03-22,113.28142857142858
2024-03-23,121.71614285714284
2024-03-24,129.76257142857145
2024-03-25,128.6872857142857
2024-03-26,121.40371428571429
2024-03-27,122.92657142857145
2024-03-28,126.67571428571429
2024-03-29,128.25842857142857
2024-03-30,122.97785714285715
2024-03-31,118.05157142857142
2024-04-01,116.66257142857144
2024-04-02,123.38985714285715
2024-04-03,133.95257142857145
2024-04-04,121.53757142857144
2024-04-05,117.453
2024-04-06,126.54671428571429
2024-04-07,131.14257142857144
2024-04-08,130.17914285714286
2024-04-09,122.34357142857142
2024-04-10,102.99557142857142
2024-04-11,99.60571428571428
2024-04-12,96.6322857142857
2024-04-13,93.02642857142858
2024-04-14,91.33628571428572
2024-04-15,96.18999999999998
2024-04-16,100.28614285714285
2024-04-17,108.5837142857143
2024-04-18,124.48400000000001
2024-04-19,125.78214285714286
2024-04-20,124.54299999999999
2024-04-21,124.76571428571428
2024-04-22,118.34714285714287
2024-04-23,116.39942857142856
2024-04-24,112.74242857142858
2024-04-25,109.02985714285714
2024-04-26,104.86771428571429
2024-04-27,101.806
2024-04-28,99.23685714285715
2024-04-29,97.24185714285714
2024-04-30,90.45114285714286
2024-05-01,83.17157142857141
2024-05-02,68.86371428571428
2024-05-03,69.428
2024-05-04,73.03485714285715
2024-05-05,72.74071428571429
2024-05-06,74.848
2024-05-07,79.90814285714285
2024-05-08,85.65314285714285
2024-05-09,91.84785714285715
2024-05-10,93.39285714285714
2024-05-11,92.275
2024-05-12,94.15614285714285
2024-05-13,96.63414285714286
2024-05-14,98.19514285714286
2024-05-15,99.50771428571429
2024-05-16,105.48257142857142
2024-05-17,100.92842857142857
2024-05-18,96.77571428571427
2024-05-19,90.69542857142858
2024-05-20,85.40528571428572
2024-05-21,82.62571428571428
2024-05-22,74.08214285714287
2024-05-23,63.187000000000005
2024-05-24,66.05242857142858
2024-05-25,69.97999999999999
2024-05-26,75.16499999999999
2024-05-27,75.38014285714287
2024-05-28,72.91128571428571
2024-05-29,76.90314285714285
2024-05-30,82.811
2024-05-31,82.30228571428572
2024-06-01,70.63357142857143
2024-06-02,64.43185714285714
2024-06-03,65.7792857142857
2024-06-04,68.94
2024-06-05,75.42014285714285
2024-06-06,66.76828571428571
2024-06-07,61.37571428571429
2024-06-08,62.21728571428571
2024-06-09,64.47328571428571
2024-06-10,60.96842857142857
2024-06-11,55.57342857142857
2024-06-12,43.11842857142857
2024-06-13,40.646428571428565
2024-06-14,38.25328571428572
2024-06-15,35.32957142857143
2024-06-16,26.772285714285715
2024-06-17,24.536285714285714
2024-06-18,22.55557142857143
2024-06-19,20.443857142857144
2024-06-20,20.925571428571427
2024-06-21,20.762857142857143
2024-06-22,20.708428571428573
2024-06-23,20.517285714285716
2024-06-24,20.99657142857143
2024-06-25,22.291999999999998
2024-06-26,23.90857142857143
2024-06-27,23.90028571428571
2024-06-28,24.1
2024-06-29,25.702285714285715
2024-06-30,26.60585714285714
2024-07-01,26.246000000000002
2024-07-02,25.72742857142857
2024-07-03,23.756428571428568
2024-07-04,22.054142857142857
2024-07-05,20.84742857142857
2024-07-06,18.793142857142858
2024-07-07,16.322857142857142
