Date and Time,Consumtpion (kWh)
00:00,1.6573671232876712
00:30,1.6862794520547943
01:00,1.711682191780822
01:30,1.6445780821917808
02:00,1.6397150684931507
02:30,1.576246575342466
03:00,1.5786794520547944
03:30,1.6345342465753425
04:00,1.628309589041096
04:30,1.644109506849315
05:00,2.240232712328767
05:30,2.3420674520547946
06:00,2.3990907397260277
06:30,2.3659101643835614
07:00,2.355881479452055
07:30,2.3441288219178085
08:00,2.9171415342465754
08:30,3.0065226849315065
09:00,3.051953616438356
09:30,3.0626647123287674
10:00,3.0861584109589044
10:30,3.0256436438356165
11:00,3.1211699452054793
11:30,3.192301534246575
12:00,3.139884849315069
12:30,3.1349252054794516
13:00,3.283686328767123
13:30,3.4258779726027395
14:00,3.635192082191781
14:30,3.7547589041095892
15:00,3.4219053424657533
15:30,3.479577068493151
16:00,3.063931780821918
16:30,3.036643890410959
17:00,3.1005085479452053
17:30,2.9085871780821915
18:00,2.8134883013698633
18:30,2.6209151780821918
19:00,2.470086410958904
19:30,2.435482082191781
20:00,2.245940712328767
20:30,2.143031534246575
21:00,2.077898191780822
21:30,2.028328712328767
22:00,1.960881397260274
22:30,1.8591721369863015
23:00,1.7804391232876713
23:30,1.6874461369863012
