Date and Time,Consumption (kWh)
2024-01-01,130.81825
2024-01-02,133.28644
2024-01-03,143.71714666666665
2024-01-04,151.09853
2024-01-05,192.153476
2024-01-06,178.77899
2024-01-07,175.15284714285715
2024-01-08,182.90665857142858
2024-01-09,187.58917714285715
2024-01-10,185.90039714285714
2024-01-11,188.29519857142859
2024-01-12,165.99822
2024-01-13,173.15156000000002
2024-01-14,178.6162557142857
2024-01-15,178.68319142857143
2024-01-16,171.06644857142857
2024-01-17,167.47983
2024-01-18,163.15657714285712
2024-01-19,162.67821857142857
2024-01-20,160.8473
2024-01-21,154.41466571428572
2024-01-22,144.38869285714284
2024-01-23,143.7774657142857
2024-01-24,141.88411714285715
2024-01-25,139.84892857142856
2024-01-26,139.95216714285715
2024-01-27,140.54758714285714
2024-01-28,138.57686142857142
2024-01-29,139.20219571428572
2024-01-30,137.61855
2024-01-31,135.78576714285714
2024-02-01,137.91184857142858
2024-02-02,133.29244285714285
2024-02-03,128.78047
2024-02-04,130.29997857142857
2024-02-05,130.88602857142857
2024-02-06,136.97735000000003
2024-02-07,146.64786857142857
2024-02-08,152.22250142857143
2024-02-09,153.48815857142858
2024-02-10,156.96177285714288
2024-02-11,156.92508714285714
2024-02-12,157.51480428571426
2024-02-13,153.59771285714285
2024-02-14,142.60024
2024-02-15,127.08608285714286
2024-02-16,117.98185428571428
2024-02-17,109.2684957142857
2024-02-18,120.35060428571428
2024-02-19,112.99925142857144
2024-02-20,109.72268999999999
2024-02-21,113.54277857142857
2024-02-22,128.36750285714285
2024-02-23,135.79916857142857
2024-02-24,136.54975285714286
2024-02-25,139.7961442857143
2024-02-26,142.74099285714286
2024-02-27,144.06849428571428
2024-02-28,146.86607142857142
2024-02-29,119.0694757142857
2024-03-01,113.23244714285714
2024-03-02,113.01059428571429
2024-03-03,90.77668714285713
2024-03-04,89.22056571428573
2024-03-05,86.16283142857144
2024-03-06,78.04957
2024-03-07,90.20085571428571
2024-03-08,91.24582857142858
2024-03-09,111.13132142857141
2024-03-10,111.29185714285713
2024-03-11,111.06671428571428
2024-03-12,111.77399999999999
2024-03-13,116.76585714285714
2024-03-14,125.28742857142858
2024-03-15,123.12171428571428
2024-03-16,100.69742857142857
2024-03-17,99.53842857142857
2024-03-18,101.98928571428571
2024-03-19,108.37742857142858
2024-03-20,109.42585714285714
2024-03-21,110.10971428571429
2024-03-22,113.28142857142858
2024-03-23,121.71614285714284
2024-03-24,129.76257142857145
2024-03-25,128.6872857142857
2024-03-26,141.4037142857143
2024-03-27,142.92657142857144
2024-03-28,146.6757142857143
2024-03-29,148.25842857142857
2024-03-30,142.97785714285715
2024-03-31,138.05157142857144
2024-04-01,136.66257142857143
2024-04-02,123.38985714285714
2024-04-03,133.95257142857142
2024-04-04,121.53757142857144
2024-04-05,117.45299999999999
2024-04-06,126.54671428571429
2024-04-07,131.14257142857142
2024-04-08,130.17914285714284
2024-04-09,122.34357142857142
2024-04-10,102.99557142857142
2024-04-11,99.60571428571428
2024-04-12,116.63228571428571
2024-04-13,113.02642857142857
2024-04-14,111.33628571428572
2024-04-15,116.19000000000001
2024-04-16,120.28614285714286
2024-04-17,128.58371428571428
2024-04-18,144.48399999999998
2024-04-19,125.78214285714286
2024-04-20,124.54299999999999
2024-04-21,124.76571428571427
2024-04-22,118.34714285714286
2024-04-23,116.39942857142856
2024-04-24,112.74242857142858
2024-04-25,109.02985714285715
2024-04-26,104.86771428571429
2024-04-27,101.806
2024-04-28,99.23685714285713
2024-04-29,97.24185714285714
2024-04-30,110.45114285714286
2024-05-01,103.17157142857143
2024-05-02,88.86371428571428
2024-05-03,109.428
2024-05-04,113.03485714285715
2024-05-05,112.74071428571428
2024-05-06,114.84799999999998
2024-05-07,99.90814285714285
2024-05-08,105.65314285714284
2024-05-09,111.84785714285714
2024-05-10,93.39285714285714
2024-05-11,92.27499999999999
2024-05-12,94.15614285714287
2024-05-13,96.63414285714285
2024-05-14,98.19514285714286
2024-05-15,119.50771428571429
2024-05-16,125.48257142857143
2024-05-17,120.92842857142857
2024-05-18,116.7757142857143
2024-05-19,110.69542857142856
2024-05-20,105.40528571428571
2024-05-21,102.6257142857143
2024-05-22,74.08214285714287
2024-05-23,63.187000000000005
2024-05-24,66.05242857142858
2024-05-25,69.97999999999999
2024-05-26,75.16499999999999
2024-05-27,75.38014285714287
2024-05-28,72.91128571428571
2024-05-29,76.90314285714285
2024-05-30,82.811
2024-05-31,82.30228571428572
2024-06-01,70.63357142857143
2024-06-02,64.43185714285714
2024-06-03,65.7792857142857
2024-06-04,68.94
2024-06-05,75.42014285714285
2024-06-06,66.76828571428571
2024-06-07,61.37571428571429
2024-06-08,62.21728571428571
2024-06-09,64.47328571428571
2024-06-10,60.96842857142857
2024-06-11,55.57342857142857
2024-06-12,43.11842857142857
2024-06-13,40.646428571428565
2024-06-14,38.25328571428572
2024-06-15,35.32957142857143
2024-06-16,26.772285714285715
2024-06-17,24.536285714285714
2024-06-18,22.55557142857143
2024-06-19,20.443857142857144
2024-06-20,20.925571428571427
2024-06-21,20.762857142857143
2024-06-22,20.708428571428573
2024-06-23,20.517285714285716
2024-06-24,20.99657142857143
2024-06-25,22.291999999999998
2024-06-26,23.90857142857143
2024-06-27,23.90028571428571
2024-06-28,24.1
2024-06-29,25.702285714285715
2024-06-30,26.60585714285714
2024-07-01,26.246000000000002
2024-07-02,25.72742857142857
2024-07-03,23.756428571428568
2024-07-04,22.054142857142857
2024-07-05,20.84742857142857
2024-07-06,18.793142857142858
2024-07-07,16.322857142857142
2024-07-08,16.719285714285714
2024-07-09,16.685285714285715
2024-07-10,17.382714285714286
2024-07-11,18.791428571428575
2024-07-12,20.184428571428572
2024-07-13,22.43657142857143
2024-07-14,25.119857142857143
2024-07-15,25.700714285714287
2024-07-16,29.959285714285716
2024-07-17,31.95414285714286
2024-07-18,31.617857142857144
2024-07-19,33.58057142857143
2024-07-20,34.352714285714285
2024-07-21,33.93628571428572
2024-07-22,35.422000000000004
2024-07-23,32.273428571428575
2024-07-24,32.06014285714286
2024-07-25,34.928714285714285
2024-07-26,33.598142857142854
2024-07-27,32.112
2024-07-28,30.29314285714285
2024-07-29,27.583285714285715
2024-07-30,25.527571428571427
2024-07-31,23.35571428571428
2024-08-01,19.32
2024-08-02,18.785857142857143
2024-08-03,19.164714285714286
2024-08-04,22.71157142857143
2024-08-05,25.294714285714285
2024-08-06,47.19585714285714
2024-08-07,50.141999999999996
2024-08-08,53.16700000000001
2024-08-09,54.43114285714285
2024-08-10,53.24185714285714
2024-08-11,54.61485714285714
2024-08-12,52.83757142857143
2024-08-13,31.910142857142862
2024-08-14,29.586428571428574
2024-08-15,27.669000000000008
2024-08-16,27.70814285714286
2024-08-17,29.02685714285715
2024-08-18,29.492285714285718
2024-08-19,53.66857142857143
2024-08-20,59.30114285714286
2024-08-21,64.346
2024-08-22,69.78171428571429
2024-08-23,79.74385714285714
2024-08-24,82.89
2024-08-25,86.087
2024-08-26,67.43685714285714
2024-08-27,74.79058142857141
2024-08-28,87.65738999999999
2024-08-29,88.39770142857142
2024-08-30,81.87925857142857
2024-08-31,81.01659428571428
2024-09-01,83.33937571428571
2024-09-02,79.98735857142857
2024-09-03,71.02851
2024-09-04,78.90403142857143
2024-09-05,77.7363457142857
2024-09-06,77.58363999999999
2024-09-07,80.37688142857142
2024-09-08,78.45833142857143
2024-09-09,79.58867428571429
2024-09-10,79.91240571428571
2024-09-11,62.06917571428572
2024-09-12,62.01571857142857
2024-09-13,62.15889142857143
2024-09-14,62.72482571428571
2024-09-15,61.28610285714286
2024-09-16,62.28507714285714
2024-09-17,65.05768714285715
2024-09-18,71.17779571428572
2024-09-19,86.05188285714287
2024-09-20,87.79372285714285
2024-09-21,86.54906285714286
2024-09-22,109.8646357142857
2024-09-23,114.79924000000001
2024-09-24,113.75190571428571
2024-09-25,118.52148000000001
2024-09-26,113.14731857142858
2024-09-27,109.97001
2024-09-28,109.2145442857143
2024-09-29,91.5751142857143
