Date and Time,Simulated (kWh),Actual (kWh)
2025-01-01,31.001707387,30.35625
2025-01-02,27.287877676999997,31.30294
2025-01-03,29.323074304333332,30.869813333333337
2025-01-04,30.9767187995,29.80028
2025-01-05,29.2416609124,27.488076
2025-01-06,30.186673052333333,24.48015666666667
2025-01-07,30.499171773142855,25.33741857142857
2025-01-08,29.56391514185714,25.35437285714286
2025-01-09,30.081979876857144,23.77589142857143
2025-01-10,29.781405415285715,22.296254285714287
2025-01-11,29.72230464671429,21.963055714285712
2025-01-12,31.73934852757143,22.138505714285714
2025-01-13,31.455550503285714,24.62156
2025-01-14,29.092547099714288,24.558255714285714
2025-01-15,28.177818269285716,22.28204857142857
2025-01-16,26.30990812042857,23.52473428571429
2025-01-17,26.909637322714282,25.353544285714285
2025-01-18,26.792654290428572,26.28172
2025-01-19,26.178383578,27.61364714285714
2025-01-20,22.706707490285712,26.412300000000005
2025-01-21,23.581833488571426,25.925379999999997
2025-01-22,22.400001949142855,27.644550000000002
2025-01-23,23.772761874571426,25.47746571428571
2025-01-24,23.413257720142855,25.34768857142857
2025-01-25,23.030734647857145,24.6825
2025-01-26,23.094911320714285,24.555167142857147
2025-01-27,24.260891015285715,25.53315857142857
2025-01-28,26.09891683357143,26.308004285714286
2025-01-29,28.187671617285712,26.951195714285713
2025-01-30,27.986655708999997,29.19055
2025-01-31,26.08231312257143,28.972767142857144
2025-02-01,25.650252286285713,29.31099142857143
2025-02-02,24.749899841428572,28.83472857142857
2025-02-03,25.778329774285716,28.32161285714286
2025-02-04,21.82689075885714,26.433835714285713
2025-02-05,19.870865729571427,25.981457142857145
2025-02-06,18.150840722142856,25.24692142857143
2025-02-07,19.708468863,23.988011428571433
2025-02-08,18.965948678,23.62893
2025-02-09,19.48765222142857,22.673587142857144
2025-02-10,19.916743591142858,22.596201428571426
2025-02-11,21.29713008085714,23.710658571428574
2025-02-12,24.303864182428573,23.56466142857143
2025-02-13,26.904182591285714,22.700284285714282
2025-02-14,26.600361435285716,23.293811428571424
2025-02-15,27.669237047714287,22.20594
2025-02-16,27.266008578142856,22.761711428571427
2025-02-17,28.33434219385714,23.835781428571433
2025-02-18,29.534169175285715,23.962175714285713
2025-02-19,27.700210975,24.479251428571427
2025-02-20,25.25834619271428,25.928404285714286
2025-02-21,23.908854031,26.123207142857147
2025-02-22,22.80384264285714,26.843502857142855
2025-02-23,22.316453113714285,26.159454285714286
2025-02-24,21.713434962714285,26.17732428571429
2025-02-25,22.09094266442857,26.134430000000002
2025-02-26,23.178046863857144,25.467707142857144
2025-02-27,25.088330951714283,24.95435142857143
2025-02-28,25.810727962857147,24.681642857142858
2025-03-01,25.729395759571428,23.88036
2025-03-02,24.717562118285713,25.135525714285713
2025-03-03,22.800453293,23.01777285714286
2025-03-04,20.21847219342857,19.128544285714288
2025-03-05,17.966853712,15.436851428571428
2025-03-06,18.671554375142854,11.756402857142858
2025-03-07,19.339999971571427,8.211855714285715
2025-03-08,19.33171953857143,5.6729714285714286
2025-03-09,20.943956050142855,1.9920357142857144
2025-03-10,22.218275669142855,0.0
2025-03-11,22.657470655857143,0.0
2025-03-12,23.96632766514286,0.0
2025-03-13,21.149809539714287,0.0
2025-03-14,18.743910965142856,0.0
2025-03-15,17.38515261057143,0.0
2025-03-16,15.07435916657143,0.0
2025-03-17,14.640910203857143,0.0
2025-03-18,15.87825120957143,0.0
2025-03-19,14.639219065142857,0.0
2025-03-20,16.75237637714286,0.0
2025-03-21,18.149027886000002,0.0
2025-03-22,18.86702968157143,0.0
2025-03-23,21.01674663542857,0.0
2025-03-24,21.557865376428573,0.0
2025-03-25,22.327967260571427,0.0
2025-03-26,24.250684731857145,0.0
2025-03-27,24.411765052714287,0.0
2025-03-28,24.671572499285713,0.0
2025-03-29,25.57156306942857,0.0
2025-03-30,24.834249013428572,0.0
2025-03-31,24.66559859428571,0.0
2025-04-01,24.284745034571426,0.0
2025-04-02,24.40446293642857,0.0
2025-04-03,22.33668149442857,0.0
2025-04-04,19.88762822357143,0.0
2025-04-05,18.066899991142858,0.0
2025-04-06,15.917359445142859,0.0
2025-04-07,13.694016714857142,0.0
2025-04-08,12.813515998142856,0.0
2025-04-09,11.167349366857142,0.0
2025-04-10,12.745283291714285,0.0
2025-04-11,15.232268256285716,0.0
2025-04-12,16.796561941857142,0.0
2025-04-13,18.136783486285715,0.0
2025-04-14,19.958348480999998,0.0
2025-04-15,20.301378699857143,0.0
2025-04-16,21.197538075714284,0.0
2025-04-17,20.631334694285716,0.0
2025-04-18,19.367677533,0.0
2025-04-19,17.222225448714287,0.0
2025-04-20,15.296340991714285,0.0
2025-04-21,14.269276455428571,0.0
2025-04-22,14.293822905571428,0.0
2025-04-23,14.273559473571428,0.0
2025-04-24,14.579454275285714,0.0
2025-04-25,15.10647389942857,0.0
2025-04-26,14.470036281,0.0
2025-04-27,14.980644237000002,0.0
2025-04-28,14.650611026714286,0.0
2025-04-29,12.598599143428572,0.0
2025-04-30,12.271641505428573,0.0
2025-05-01,10.919603799,0.0
2025-05-02,9.340647136142858,0.0
2025-05-03,9.321968888428572,0.0
2025-05-04,9.576096756428571,0.0
2025-05-05,8.779946720428573,0.0
2025-05-06,10.199655532142858,0.0
2025-05-07,8.794724064142859,0.0
2025-05-08,9.274122940285716,0.0
2025-05-09,10.426746800428573,0.0
2025-05-10,11.995316975142858,0.0
2025-05-11,13.414936627714285,0.0
2025-05-12,13.390363335714284,0.0
2025-05-13,11.904032688857143,0.0
2025-05-14,12.180741211,0.0
