,Consumtpion (kWh)
Monday,129.10473807692307
Tuesday,113.7324401923077
Wednesday,118.93786339622642
Thursday,106.68159884615385
Friday,117.49672980769232
Saturday,125.26936826923078
Sunday,131.7524871153846
