Generation,Best_IRR,Best_NPV,Battery_IRR,Battery_NPV,PV_IRR,PV_NPV,Time_Elapsed
1,12.61422885000712,39467.72847628905,15.601864044243651,19.967378215835975,15.599452033620265,51.42344384136116,37.553794145584106
2,14.306592614331546,39467.72847628905,3.0133006159030202,19.967378215835975,29.613628249391944,51.42344384136116,74.4778082370758
3,14.339621795792349,40141.483638609796,2.657872733555096,15.451371093767444,29.709466244613377,50.64387395792773,111.21259307861328
4,14.339621795792349,40141.483638609796,2.657872733555096,15.451371093767444,29.709466244613377,50.64387395792773,148.9364950656891
5,14.851069408418526,40141.483638609796,2.9020070376946405,15.451371093767444,20.571408712414833,50.64387395792773,186.45186400413513
6,15.328887854922016,40141.483638609796,2.0036790696549156,15.451371093767444,14.443657538363574,50.64387395792773,223.2593810558319
7,15.477492090609202,40191.01634481566,1.5501246476348074,16.538014422813724,14.443657538363574,46.3968380767371,262.54317903518677
8,15.861365718030058,40191.51109712804,0.48388954670343987,16.538014422813724,14.443657538363574,46.49088303436051,302.334753036499
9,15.861365718030058,40191.51109712804,0.48388954670343987,16.538014422813724,14.443657538363574,46.49088303436051,342.0934901237488
10,15.861365718030058,40191.51109712804,0.48388954670343987,16.538014422813724,14.443657538363574,46.49088303436051,381.77346110343933
