year,escalation_factor,peak_rate,offpeak_rate,export_rate,import_cost,export_revenue,maintenance,net_cost,pv_only_cost,savings_vs_pv_only
1,1.0,0.3971,0.1353,0.033,6370.580691055671,393.2350893549174,250.0,6227.345601700754,8246.44,2019.0943982992467
2,1.03,0.409013,0.139359,0.03399,6561.698111787342,405.0321420355649,257.5,6414.165969751777,8493.833200000001,2079.667230248224
3,1.0609,0.42128339,0.14353977,0.0350097,6758.549055140962,417.1831062966318,265.22499999999997,6606.59094884433,8748.648196,2142.0572471556698
4,1.092727,0.4339218917,0.1478459631,0.036059991,6961.305526795191,429.6985994855308,273.18175,6804.788677309661,9011.10764188,2206.3189645703396
5,1.1255088100000001,0.4469395484510001,0.15228134199300003,0.037141790730000006,7170.144692599048,442.5895574700968,281.3772025,7008.93233762895,9281.440871136401,2272.508533507451
6,1.1592740743,0.46034773490453,0.15684978225279,0.038256044451900006,7385.249033377018,455.8672441941997,289.81851857500004,7219.200307757818,9559.884097270493,2340.6837895126746
7,1.1940522965290001,0.47415816695166596,0.16155527572037373,0.039403725785457006,7606.80650437833,469.5432615200257,298.51307413225004,7435.776316990554,9846.680620188608,2410.9043031980545
8,1.2298738654248702,0.488382911960216,0.16640193399198494,0.04058583755902072,7835.010699509679,483.6295593656265,307.46846635621756,7658.84960650027,10142.081038794267,2483.2314322939974
9,1.2667700813876164,0.5030343993190225,0.1713939920117445,0.041803412685791345,8070.06102049497,498.13844614659536,316.6925203469041,7888.6150946952785,10446.343469958096,2557.7283752628173
10,1.304773183829245,0.5181254312985931,0.17653581177209685,0.043057515066365085,8312.162851109819,513.0825995309932,326.19329595731125,8125.273547536137,10759.733774056838,2634.4602265207013
11,1.3439163793441222,0.533669194237551,0.18183188612525975,0.04434924051835604,8561.527736643115,528.475077516923,335.9790948360306,8369.031753962223,11082.525787278544,2713.4940333163213
12,1.384233870724446,0.5496792700646775,0.18728684270901755,0.045679717733906715,8818.373568742409,544.3293298424306,346.0584676811115,8620.10270658109,11415.0015608969,2794.8988543158102
13,1.4257608868461793,0.5661696481666179,0.19290544799028805,0.04705010926592392,9082.92477580468,560.6592097377037,356.44022171154484,8878.705787778523,11757.451607723808,2878.745819945285
14,1.4685337134515648,0.5831547376116164,0.19869261142999672,0.04846161254390164,9355.412519078822,577.4789860298348,367.1334283628912,9145.066961411878,12110.175155955523,2965.1081945436454
15,1.512589724855112,0.6006493797399649,0.20465338977289665,0.049915460920218695,9636.074894651187,594.8033556107299,378.14743121377796,9419.418970254235,12473.480410634189,3054.0614403799536
16,1.557967416600765,0.6186688611321638,0.21079299146608352,0.05141292474782525,9925.157141490721,612.6474562790518,389.4918541501913,9702.001539361861,12847.684822953213,3145.683283591352
17,1.6047064390987882,0.6372289269661288,0.21711678121006606,0.05295531249026001,10222.911855735445,631.0268799674233,401.17660977469706,9993.061585542719,13233.115367641813,3240.053782099094
18,1.6528476322717518,0.6563457947751127,0.22363028464636803,0.05454397186496781,10529.599211407509,649.957686366446,413.21190806793794,10292.853433109001,13630.108828671066,3337.255395562064
19,1.7024330612399046,0.6760361686183661,0.2303391931857591,0.05618029102091685,10845.487187749735,669.4564169574394,425.60826530997616,10601.639036102273,14039.012093531199,3437.3730574289257
20,1.7535060530771016,0.6963172536769171,0.23724936898133187,0.057865699751544354,11170.851803382226,689.5401094661626,438.3765132692754,10919.688207185338,14460.182456337136,3540.4942491517977
21,1.8061112346694148,0.7172067712872247,0.24436685005077183,0.059601670744090694,11505.977357483695,710.2263127501476,451.5278086673537,11247.2788534009,14893.98793002725,3646.70907662635
22,1.8602945717094972,0.7387229744258413,0.25169785555229496,0.06138972086641341,11851.156678208203,731.533102132652,465.0736429273743,11584.697219002926,15340.807567928066,3756.11034892514
23,1.9161034088607822,0.7608846636586166,0.25924879121886385,0.06323141249240581,12206.69137855445,753.4790951966315,479.0258522151956,11932.238135573014,15801.03179496591,3868.7936593928953
24,1.9735865111266058,0.7837112035683752,0.26702625495542975,0.065128354867178,12572.892119911085,776.0834680525305,493.39662778165143,12290.205279640204,16275.062748814888,3984.8574691746835
25,2.032794106460404,0.8072225396754265,0.2750370426040927,0.06708220551319334,12950.078883508417,799.3659720941065,508.198526615101,12658.91143802941,16763.314631279336,4104.403193249926
26,2.093777929654216,0.8314392158656893,0.28328815388221545,0.06909467167858914,13338.58125001367,823.3469512569297,523.444482413554,13038.678781170294,17266.214070217713,4227.535289047419
27,2.156591267543843,0.85638239234166,0.29178679849868194,0.07116751182894682,13738.73868751408,848.0473597946376,539.1478168859607,13429.839144605403,17784.20049232425,4354.361347718846
28,2.221289005570158,0.8820738641119098,0.3005404024536424,0.07330253718381523,14150.900848139503,873.4887805884769,555.3222513925396,13832.734318943565,18317.726507093976,4484.992188150411
29,2.287927675737263,0.9085360800352671,0.3095566145272517,0.07550161329932968,14575.427873583689,899.6934440061311,571.9819189343157,14247.716348511874,18867.258302306796,4619.541953794922
30,2.356565506009381,0.9357921624363251,0.3188433129630692,0.07776666169830958,15012.6907097912,926.6842473263151,589.1413765023452,14675.14783896723,19433.276051376,4758.12821240877
