battery_kwh,additional_pv_kw,IRR,NPV,total_additional_pv,total_system_pv,accommodation_block_kw,small_shed_kw,ground_mounted_kw,PI
0.48388954670343987,14.443657538363574,0.15861365718030057,19160.251968343247,14.443657538363574,24.443657538363574,14.443657538363574,0.0,0.0,1.2562103446480752
16.538014422813724,46.49088303436051,0.11661241156208253,40191.51109712804,46.49088303436051,56.49088303436051,33.0,10.0,3.4908830343605075,0.618472108777053
6.280154373056707,35.13120550708688,0.13515232823773002,37201.125856053084,35.13120550708688,45.13120550708688,33.0,2.1312055070868823,0.0,0.8930643245159433
1.2744135748840915,35.23607324452091,0.13864247619285414,34197.75806241479,35.23607324452091,45.23607324452091,33.0,2.2360732445209095,0.0,0.9460976505104876
0.3544164742315732,18.473625525576555,0.15578443479938914,23086.09093014081,18.473625525576555,28.473625525576555,18.473625525576555,0.0,0.0,1.211660170724403
0.8398366959716821,23.258030572527034,0.15076990960074202,27440.11886275733,23.258030572527034,33.25803057252703,23.258030572527034,0.0,0.0,1.1331684938735058
0.6992123242883239,14.443657538363574,0.1577987733115718,19271.3109510556,14.443657538363574,24.443657538363574,14.443657538363574,0.0,0.0,1.2433599740803998
8.574644751189586,35.23607324452091,0.13335272906729378,38337.64989462204,35.23607324452091,45.23607324452091,33.0,2.2360732445209095,0.0,0.8658720921921003
0.3544164742315732,29.613628249391944,0.14624647746012415,31503.087639911613,29.613628249391944,39.613628249391944,29.613628249391944,0.0,0.0,1.0629134848802362
15.451371093767444,38.848056350115016,0.12382452773986305,40020.178802317794,38.848056350115016,48.848056350115016,33.0,5.848056350115016,0.0,0.7237631169431169
1.8553695629226943,29.96706051376922,0.14412946380586075,32639.423953964535,29.96706051376922,39.96706051376922,29.96706051376922,0.0,0.0,1.0302236988468993
0.3544164742315732,27.22906061591567,0.1482937654673387,30007.65460825566,27.22906061591567,37.22906061591567,27.22906061591567,0.0,0.0,1.0946434842837947
16.538014422813724,46.100175403802076,0.11693122140069624,40189.143039817376,46.100175403802076,56.100175403802076,33.0,10.0,3.1001754038020763,0.6230818998287558
0.3544164742315732,21.49761350043108,0.15322607939401578,25744.049894932992,21.49761350043108,31.49761350043108,21.49761350043108,0.0,0.0,1.1715374481473364
12.049139525637354,35.82920769451669,0.12966535955561598,39406.815808373474,35.82920769451669,45.82920769451669,33.0,2.8292076945166897,0.0,0.8104949382366758
1.2200680018914998,21.455374994440064,0.15137060287983686,26193.311996510318,21.455374994440064,31.455374994440064,21.455374994440064,0.0,0.0,1.1425381946609239
1.2200680018914998,18.431387019585536,0.15347995832982245,23514.622280309068,18.431387019585536,28.431387019585536,18.431387019585536,0.0,0.0,1.175511956424079
16.556074633897737,36.63618432936917,0.12468555604261312,39888.68050474815,36.63618432936917,46.63618432936917,33.0,3.636184329369172,0.0,0.7364696023300227
13.854932850147794,35.23607324452091,0.12856653064816204,39632.1273912029,35.23607324452091,45.23607324452091,33.0,2.2360732445209095,0.0,0.7940837593353313
0.3748174926246377,27.244065431753256,0.1482502261177682,30030.153728924655,27.244065431753256,37.244065431753256,27.244065431753256,0.0,0.0,1.0939675166621565
