battery_kwh,battery_cost_per_kwh,capex,opex,export_revenue,import_cost,net_cost,irr,npv,payback_years,nrel_model_used,battery_cycles,final_degradation_pct,renewable_fraction
0.0,0.0,0.0,14235.0,1273.8923247196924,0.0,12961.107675280307,,-12961.107675280307,0.0,False,0.0,0.0,0.12554924545670934
5.0,958.1834111042855,5660.917055521427,17520.0,601.9641226821261,-5808.024488918047,16770.928443921253,,-16770.928443921253,29.240150758606614,False,4072.292133561046,25.282790566840387,0.1394705100437909
10.0,939.210108348962,11132.101083489619,20805.0,272.34132141651855,-9103.807203437696,22560.952558635403,,-22560.952558635403,36.683886756584705,False,3035.0030403127184,25.282790566840387,0.1462997840782799
15.0,920.6125021599464,16419.187532399195,24090.0,109.26663780693777,-10226.769661676459,30173.151232915803,,-30173.151232915803,48.165319281399434,False,2352.779165480346,25.282790566840387,0.14967846202429091
20.0,902.3831532467918,21527.663064935838,27375.0,36.4334577008324,-10608.084914042527,38258.14469319248,,-38258.14469319248,60.880912736016406,False,1874.937677301326,25.282790566840387,0.15118748822406858
30.0,867.0002037084901,31230.0061112547,33945.0,1.6339144701122281,-10786.169598122739,54387.20259866185,,-54387.20259866185,86.86125086524713,False,1285.1095053026243,25.282790566840387,0.15190856716993145
40.0,833.0046394660302,40280.185578641205,40515.0,0.0,-10793.586311526713,70001.59926711449,,-70001.59926711449,111.95589051516203,False,965.0699429694772,25.282790566840387,0.15194251022687588
50.0,800.3420603638504,48717.103018192516,47085.0,0.0,-10793.60253762352,85008.500480569,,-85008.500480569,135.4054946391943,False,772.0559543755818,25.282790566840387,0.15194260133185097
