Generation,Best_IRR,Best_NPV,Battery_IRR,Battery_NPV,Time_Elapsed
1,3.594157338442172,39495.22349232671,6.974693032602092,15.717799053816334,61.58096790313721
2,3.6541090102537366,39495.22349232671,3.1016399421980703,15.717799053816334,126.63638973236084
3,3.7599526703647523,39495.22349232671,3.385908620546883,15.717799053816334,192.7872450351715
4,3.880418402970176,40193.49541898022,0.19685957289282374,15.717799053816334,256.94418478012085
5,3.880418402970176,40193.49541898022,0.19685957289282374,15.717799053816334,322.04213094711304
6,3.910562068313217,40193.49541898022,0.19685957289282374,15.717799053816334,387.76139283180237
7,3.9392203647190316,40412.338651154656,0.13023132971885198,15.717799053816334,454.4749937057495
8,3.9392203647190316,40419.926073322655,0.13023132971885198,15.82604207500643,520.4725248813629
9,3.9392203647190316,40419.926073322655,0.13023132971885198,15.82604207500643,583.4583396911621
10,3.9392203647190316,40419.926073322655,0.13023132971885198,15.82604207500643,646.0605537891388
11,3.953647957718709,40425.96562228695,0.09168320284285936,15.82604207500643,708.9853918552399
12,3.9613165482400348,40425.96562228695,0.06959544454697686,15.82604207500643,772.1099016666412
13,3.968298126386416,40425.96562228695,0.06959544454697686,15.82604207500643,834.5185630321503
14,3.968298126386416,40425.96562228695,0.06959544454697686,15.82604207500643,897.1342039108276
15,3.9692808866285123,40481.209399824555,0.057249319585914525,16.66366639769565,960.6300718784332
16,3.9734246754800973,40481.209399824555,0.057249319585914525,16.66366639769565,1024.6490910053253
17,3.9734246754800973,40485.13257178705,0.057249319585914525,15.703500587225854,1089.2054579257965
18,3.9734246754800973,40488.1169275908,0.057249319585914525,15.703500587225854,1152.9810287952423
19,3.9734246754800973,40488.1169275908,0.057249319585914525,15.703500587225854,1217.0567247867584
20,3.9734975409679407,40488.1169275908,0.057249319585914525,15.703500587225854,1280.6906507015228
21,3.9734975409679407,40488.1169275908,0.057249319585914525,15.703500587225854,1343.3198058605194
22,3.9734975409679407,40488.1169275908,0.057249319585914525,15.703500587225854,1405.8279588222504
23,3.9734975409679407,40488.1169275908,0.057249319585914525,15.703500587225854,1468.3989470005035
24,3.9734975409679407,40488.1169275908,0.057249319585914525,15.703500587225854,1530.7416896820068
25,3.975313057272989,40488.1169275908,0.013145355650614476,15.703500587225854,1592.6355969905853
26,3.975456238531616,40491.07005335507,0.013145355650614476,15.71155438611554,1655.4141476154327
27,3.975456238531616,40491.07005335507,0.013145355650614476,15.71155438611554,1718.462980747223
28,3.975456238531616,40491.07005335507,0.013145355650614476,15.71155438611554,1780.8665738105774
29,3.975456238531616,40491.07005335507,0.013145355650614476,15.71155438611554,1843.494239807129
30,3.975456238531616,40491.07005335507,0.013145355650614476,15.71155438611554,1906.4301488399506
31,3.975456238531616,40491.07005335507,0.013145355650614476,15.71155438611554,1968.3187668323517
32,3.975456238531616,40513.18787440294,0.013145355650614476,15.71155438611554,2030.1216797828674
33,3.9756329892500997,40513.18787440294,0.007818696443159245,15.71155438611554,2091.8526639938354
34,3.9756329892500997,40540.31013454907,0.007818696443159245,16.122650702343037,2154.1012799739838
35,3.9756329892500997,40540.31013454907,0.007818696443159245,16.122650702343037,2216.598394870758
36,3.9756329892500997,40540.31013454907,0.007818696443159245,16.122650702343037,2278.404572725296
37,3.9756329892500997,40540.31013454907,0.007818696443159245,16.122650702343037,2339.7250328063965
38,3.9756329892500997,40540.31013454907,0.007818696443159245,16.122650702343037,2401.409435749054
39,3.9757079153891706,40540.31013454907,0.007818696443159245,16.122650702343037,2463.511915922165
40,3.9757079153891706,40540.31013454907,0.007818696443159245,16.122650702343037,2524.7860078811646
41,3.9757079153891706,40540.31013454907,0.007818696443159245,16.122650702343037,2586.46431684494
42,3.9757079153891706,40540.31013454907,0.007818696443159245,16.122650702343037,2647.321888923645
43,3.9757079153891706,40540.31013454907,0.007818696443159245,16.122650702343037,2709.365792989731
44,3.9757079153891706,40540.31013454907,0.007818696443159245,16.122650702343037,2769.6672146320343
45,3.9757079153891706,40540.31013454907,0.007818696443159245,16.122650702343037,2827.773337841034
46,3.9757079153891706,40540.31013454907,0.007818696443159245,16.122650702343037,2886.229565858841
47,3.9757079153891706,40540.31013454907,0.007818696443159245,16.122650702343037,2944.58372092247
48,3.9757079153891706,40540.31013454907,0.007818696443159245,16.122650702343037,3003.1610198020935
49,3.9757079153891706,40540.31013454907,0.007818696443159245,16.122650702343037,3061.6285529136658
50,3.9757079153891706,40540.31013454907,0.007818696443159245,16.122650702343037,3120.0931067466736
