battery_kwh,IRR,NPV
2.1267060186385106e-15,,-30151.107675280287
1.0662610329226933e-15,,-30151.107675280287
1.7493783167518908e-15,,-30151.107675280287
2.2450331024573218e-15,,-30151.107675280287
1.3623872376890282e-15,,-30151.107675280287
1.870110789419458e-15,,-30151.107675280287
1.2107151876567622e-15,,-30151.107675280287
1.4890562196434109e-15,,-30151.107675280287
